candidate_key,n_estimators,max_depth,min_samples_leaf,max_features,max_samples,theoretical_max_nodes,threshold_oof,elapsed_seconds_total_search,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
rf__trees300__depth10__leaf5__features0p1,300,10,5,0.1,0.8,614100,0.4037241592771268,628.2188806999475,0.7270486752926679,0.631035762425566,0.6271826869080008,0.8305921052631579,0.4176904176904177,0.809943865276664,0.4521276595744681,0.6663119145523726,0.37500514074451946,1010,237,206,170
rf__trees300__depth8__leaf5__features0p1,300,8,5,0.1,0.8,153300,0.4197999442674376,628.2188806999475,0.7153419593345656,0.6364210274872459,0.6260741642064949,0.8357570573139436,0.4052863436123348,0.7834803528468324,0.48936170212765956,0.6657701888788412,0.37394563831055305,977,270,192,184
rf__trees200__depth8__leaf5__features0p1,200,8,5,0.1,0.8,102200,0.4205732698127284,628.2188806999475,0.7178065311152187,0.634309577027419,0.6257325900355671,0.834038950042337,0.4072398190045249,0.7898957497995188,0.4787234042553192,0.66403410738965,0.37431508186004514,985,262,196,180
rf__trees100__depth8__leaf5__features0p1,100,8,5,0.1,0.8,51100,0.43215425882182135,628.2188806999475,0.7288971041281578,0.6266656998071969,0.6247603914447135,0.8277822908204712,0.41836734693877553,0.8171611868484362,0.43617021276595747,0.6634475933730314,0.37575162239662496,1019,228,212,164
rf__trees200__depth6__leaf10__featuressqrt,200,6,10,sqrt,0.8,25400,0.47861054705070516,628.2188806999475,0.7282809611829945,0.6244070876486547,0.6228892524361619,0.826580226904376,0.41645244215938304,0.8179631114675221,0.4308510638297872,0.6663183128870993,0.37878533695260413,1020,227,214,162
rf__trees150__depth6__leaf10__featuressqrt,150,6,10,sqrt,0.8,19050,0.48816386409114243,628.2188806999475,0.7399876771410967,0.6190218225869747,0.6226629438313176,0.8220140515222483,0.4327485380116959,0.8444266238973537,0.39361702127659576,0.6638720162432391,0.3757731826613586,1053,194,228,148
rf__trees100__depth10__leaf5__features0p1,100,10,5,0.1,0.8,204700,0.3972306562832602,628.2188806999475,0.7153419593345656,0.6308480779402481,0.6224638790315109,0.8323454699407282,0.40271493212669685,0.7882919005613472,0.4734042553191489,0.6616475285365728,0.37213596602099397,983,264,198,178
rf__trees200__depth10__leaf5__features0p1,200,10,5,0.1,0.8,409400,0.3988894314981787,628.2188806999475,0.7196549599507086,0.6280818645600506,0.6222981014785032,0.83,0.4066193853427896,0.7987169206094628,0.4574468085106383,0.6635776928458086,0.3731417951782766,996,251,204,172
rf__trees200__depth10__leaf5__featuressqrt,200,10,5,sqrt,0.8,409400,0.4191931580253503,628.2188806999475,0.7412199630314233,0.6179660973570612,0.6221832515984853,0.8212898212898213,0.43452380952380953,0.8476343223736968,0.3882978723404255,0.6626883243187907,0.37122651296457687,1057,190,230,146
rf__trees300__depth8__leaf5__featuressqrt,300,8,5,sqrt,0.8,153300,0.4325223065869416,628.2188806999475,0.7233518176216882,0.6258435137948097,0.6221332424868903,0.828125,0.4103194103194103,0.8075380914194066,0.4441489361702128,0.6700400109198246,0.378662439619339,1007,240,209,167
rf__trees200__depth8__leaf5__featuressqrt,200,8,5,sqrt,0.8,102200,0.4205512700081954,628.2188806999475,0.7110289587184226,0.632685466395946,0.6218991299855701,0.834192439862543,0.39869281045751637,0.7786688051323175,0.4867021276595745,0.6654289443600812,0.3780394238915136,971,276,193,183
rf__trees300__depth10__leaf5__featuressqrt,300,10,5,sqrt,0.8,614100,0.41619971144882295,628.2188806999475,0.7369069624152803,0.6188746608882595,0.6215715172665732,0.8223270440251572,0.42735042735042733,0.838813151563753,0.39893617021276595,0.665409749355901,0.3722522580327454,1046,201,226,150
rf__trees300__depth8__leaf10__featuressqrt,300,8,10,sqrt,0.8,153300,0.4413667021368015,628.2188806999475,0.7171903881700554,0.6283356651708782,0.6215174419402186,0.8305369127516778,0.4037122969837587,0.7939053728949479,0.4627659574468085,0.6710765411455579,0.37540450362560607,990,257,202,174
rf__trees100__depth6__leaf10__featuressqrt,100,6,10,sqrt,0.8,12700,0.47377954534109545,628.2188806999475,0.7208872458410351,0.6251684894811377,0.6207421644684001,0.828099173553719,0.4067796610169492,0.8035284683239775,0.44680851063829785,0.6611313962019485,0.3751604471292614,1002,245,208,168
