fold,recording_count,threshold,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
0,325,0.4037241592771268,0.7169230769230769,0.614140773620799,0.6120107962213226,0.8204081632653061,0.4,0.8072289156626506,0.42105263157894735,0.6605897273303741,0.3767214373347798,201,48,44,32
1,325,0.4037241592771268,0.6923076923076923,0.5946666666666667,0.5888990082979154,0.8151260504201681,0.3563218390804598,0.776,0.41333333333333333,0.6071466666666667,0.328403793734509,194,56,44,31
2,324,0.4037241592771268,0.7253086419753086,0.6349397590361445,0.6291237411737469,0.8333333333333334,0.4166666666666667,0.8032128514056225,0.4666666666666667,0.7024899598393575,0.38544753778399377,200,49,40,35
3,325,0.4037241592771268,0.7723076923076924,0.6699999999999999,0.6731626440530549,0.8464566929133859,0.5070422535211268,0.86,0.48,0.6910400000000001,0.4244076587429223,215,35,39,36
4,324,0.4037241592771268,0.7283950617283951,0.6416064257028112,0.6348360655737705,0.8368200836820083,0.4235294117647059,0.8032128514056225,0.48,0.6806425702811244,0.42204717402292824,200,49,39,36
