fold,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct,original_cough_count,original_cough_recall,new_fsd50k_cough_count,new_fsd50k_cough_recall
0,1369,951,418,0.943754565376187,0.9326999028974788,0.9108433734939759,0.9043062200956937,0.961093585699264,0.907563025210084,0.9335715388517611,0.9770827987663453,914,37,40,378,397,0.9395465994962217,21,0.23809523809523808
1,1473,1049,424,0.921928038017651,0.9114610500566578,0.8487584650112867,0.8867924528301887,0.9361296472831268,0.8673587081891581,0.9060218264370514,0.9697780455779988,982,67,48,376,399,0.9298245614035088,25,0.2
2,1390,971,419,0.935251798561151,0.9156665003477948,0.9143576826196473,0.8663484486873508,0.964984552008239,0.8897058823529411,0.921940517551216,0.9654318924220044,937,34,56,363,398,0.9095477386934674,21,0.047619047619047616
3,1634,1214,420,0.9302325581395349,0.9102239742684554,0.8608490566037735,0.8690476190476191,0.9514003294892917,0.8649289099526066,0.9089496034911548,0.9628932297795558,1155,59,55,365,397,0.9093198992443325,23,0.17391304347826086
4,1475,1052,423,0.9369491525423729,0.9204610827962498,0.8966346153846154,0.8817966903073287,0.9591254752851711,0.8891537544696066,0.9225494021045333,0.9590086203022049,1009,43,50,373,392,0.9413265306122449,31,0.12903225806451613
