dataset,threshold,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct,original_cough_count,original_cough_recall,new_fsd50k_cough_count,new_fsd50k_cough_recall
train_oof,0.49,7341,5237,2104,0.93338782182264,0.917913114204211,0.8854415274463007,0.8816539923954373,0.9541722360129845,0.8835437008811622,0.9184483743364125,0.9665570585429355,4997,240,249,1855,1983,0.9258698940998488,121,0.15702479338842976
validation,0.49,1631,1175,456,0.9484978540772532,0.928023516237402,0.9305555555555556,0.881578947368421,0.9744680851063829,0.9054054054054054,0.9350110430565359,0.9795800671892498,1145,30,54,402,430,0.9255813953488372,26,0.15384615384615385
