candidate,representation_key,pca_components,c_value,penalty,class_weight,input_dimension,output_dimension,threshold,elapsed_seconds,max_iterations,selected,oof_tuned__n_samples,oof_tuned__n_no_cough,oof_tuned__n_cough,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__precision_cough,oof_tuned__recall_cough,oof_tuned__specificity_no_cough,oof_tuned__f1_cough,oof_tuned__macro_f1,oof_tuned__roc_auc,oof_tuned__tn_no_cough_correct,oof_tuned__fp_no_cough_as_cough,oof_tuned__fn_cough_as_no_cough,oof_tuned__tp_cough_correct,oof_0p5__n_samples,oof_0p5__n_no_cough,oof_0p5__n_cough,oof_0p5__accuracy,oof_0p5__balanced_accuracy,oof_0p5__precision_cough,oof_0p5__recall_cough,oof_0p5__specificity_no_cough,oof_0p5__f1_cough,oof_0p5__macro_f1,oof_0p5__roc_auc,oof_0p5__tn_no_cough_correct,oof_0p5__fp_no_cough_as_cough,oof_0p5__fn_cough_as_no_cough,oof_0p5__tp_cough_correct,oof_tuned__original_cough_count,oof_tuned__original_cough_recall,oof_tuned__new_fsd50k_cough_count,oof_tuned__new_fsd50k_cough_recall,selected_for_phase_b
s0_s1__log__peak_rms_crest__pcanone__C0p1__l2__weight_none,s0_s1__log__peak_rms_crest,,0.1,l2,,294,294,0.58,2.7697204999858513,8,False,7341,5237,2104,0.9318893883667075,0.9089014822871191,0.9022066198595787,0.8550380228136882,0.9627649417605499,0.8779892630551489,0.9153740721927295,0.966260016655401,5042,195,305,1799,7341,5237,2104,0.9288925214548427,0.9126299342714279,0.877025738798856,0.8745247148288974,0.9507351537139583,0.8757734412184673,0.9129821404565619,0.966260016655401,4979,258,264,1840,1983,0.8991427130610187,121,0.1322314049586777,True
s0_s1__log__peak_rms__pcanone__C0p1__l2__weight_none,s0_s1__log__peak_rms,,0.1,l2,,291,291,0.53,2.7214528000331484,8,False,7341,5237,2104,0.9286200790083095,0.9110173044823648,0.8798076923076923,0.8697718631178707,0.9522627458468589,0.8747609942638623,0.9124233624396088,0.9628389980331524,4987,250,274,1830,7341,5237,2104,0.9272578667756436,0.9126215847897128,0.8692380056444027,0.8783269961977186,0.9469161733817071,0.873758865248227,0.9113340824518976,0.9628389980331524,4959,278,256,1848,1983,0.9127584467977812,121,0.1652892561983471,True
s0_s1__raw__peak_rms_crest__pcanone__C0p1__l2__weight_none,s0_s1__raw__peak_rms_crest,,0.1,l2,,294,294,0.51,3.4607051000348292,8,False,7341,5237,2104,0.907778231848522,0.8840410819911844,0.8465274405050995,0.8284220532319392,0.9396601107504297,0.8373768916646649,0.8865085808261531,0.9449888951893191,4921,316,361,1743,7341,5237,2104,0.9073695681787223,0.8844654988524908,0.8436293436293436,0.8307984790874525,0.9381325186175291,0.8371647509578544,0.8862199159320017,0.9449888951893191,4913,324,356,1748,1983,0.8734241048915784,121,0.09090909090909091,False
s0_s1__raw__peak_rms__pcanone__C0p1__l2__weight_none,s0_s1__raw__peak_rms,,0.1,l2,,291,291,0.39,3.7420797999948263,9,False,7341,5237,2104,0.9006947282386596,0.894572727978968,0.7951910691283813,0.8802281368821293,0.9089173190758068,0.8355515452289646,0.8822113273027445,0.9404335268718993,4760,477,252,1852,7341,5237,2104,0.9011033919084593,0.8792206630069315,0.8271604938271605,0.8279467680608364,0.9304945579530265,0.8275534441805226,0.8791128565440428,0.9404335268718993,4873,364,362,1742,1983,0.9263741805345436,121,0.12396694214876033,False
s0_s1__log__noamp__pcanone__C0p1__l2__weight_none,s0_s1__log__noamp,,0.1,l2,,285,285,0.49,2.6718522000010125,7,False,7341,5237,2104,0.8981065249965945,0.8789684088283789,0.8147632311977716,0.8341254752851711,0.9238113423715868,0.8243306716768436,0.8762865944723435,0.9448940559676651,4838,399,349,1755,7341,5237,2104,0.8975616401035281,0.8767383257909682,0.8170731707317073,0.8279467680608364,0.9255298835210999,0.8224740321057602,0.8752423769565754,0.9448940559676651,4847,390,362,1742,1983,0.8744326777609682,121,0.17355371900826447,False
s0_s1__raw__noamp__pcanone__C0p01__l2__weight_none,s0_s1__raw__noamp,,0.01,l2,,285,285,0.46,2.681126300012693,7,False,7341,5237,2104,0.8794442174090723,0.8614811907958217,0.7734410049349484,0.8193916349809885,0.903570746610655,0.7957535195015001,0.8551190053783468,0.9144386861255572,4732,505,380,1724,7341,5237,2104,0.8764473504972075,0.8460169523520491,0.7901114881240912,0.7747148288973384,0.9173190758067596,0.7823374130069595,0.8480398429751868,0.9144386861255572,4804,433,474,1630,1983,0.8628340897629854,121,0.10743801652892562,False
