dataset,threshold,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct,cough_quality
train_oof,0.5,7718,5603,2115,0.941435605079036,0.945683437908348,0.8498106857383256,0.9550827423167848,0.9362841334999108,0.8993766696349065,0.9290377500221316,0.9848447450264104,5246,357,95,2020,
train_fit_original,0.5,7718,5603,2115,0.9508940139932625,0.9536694923227972,0.8734939759036144,0.9598108747044918,0.9475281099411028,0.9146204100022528,0.9400782326450292,0.9890070711021494,5309,294,85,2030,
validation,0.5,1709,1246,463,0.946167349327092,0.9515451604963095,0.8560460652591171,0.9632829373650108,0.9398073836276084,0.9065040650406504,0.9343531007208182,0.9884971000072804,1171,75,17,446,
test,0.5,1689,1261,428,0.9561870929544108,0.9613976446522934,0.8702928870292888,0.9719626168224299,0.950832672482157,0.9183222958057395,0.9441935103624167,0.9899297397852171,1199,62,12,416,
test_good_cough_vs_shared_no_cough,0.5,1479,1261,218,0.9574036511156186,0.9731227582594271,0.7777777777777778,0.9954128440366973,0.950832672482157,0.8732394366197183,0.9238200433809685,0.9966496664217273,1199,62,1,217,good
test_ok_cough_vs_shared_no_cough,0.5,1407,1261,146,0.9559346126510305,0.9754163362410785,0.7019230769230769,1.0,0.950832672482157,0.8248587570621468,0.8998277525148133,0.9966812597090806,1199,62,0,146,ok
test_poor_cough_vs_shared_no_cough,0.5,1300,1261,39,0.9523076923076923,0.9754163362410785,0.38613861386138615,1.0,0.950832672482157,0.5571428571428572,0.7659698025551684,0.9943878484719088,1199,62,0,39,poor
