candidate,fold,n_original_train,n_augmented_train,n_effective_train,n_original_validation,n_augmented_validation,n_new_fsd50k_cough_validation,recall_new_fsd50k_cough,fit_seconds,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct
lr__C0p3__l1__weight_none,0,6265,1697,7962,1453,0,21,0.47619047619047616,0.18160779995378107,1453,1035,418,0.9635237439779766,0.9636999283452372,0.9138321995464853,0.9641148325358851,0.9632850241545894,0.9383003492433062,0.9562044003177939,0.9892517855904583,997,38,15,403
lr__C0p3__l1__weight_none,1,6161,1689,7850,1557,0,27,0.5185185185185185,0.24175629997625947,1557,1131,426,0.9274245343609505,0.9383382523256248,0.8086785009861933,0.9624413145539906,0.9142351900972591,0.8788853161843515,0.9135371101783747,0.9838503464049845,1034,97,16,410
lr__C0p3__l1__weight_none,2,6237,1692,7929,1481,0,25,0.68,0.20305309991817921,1481,1058,423,0.9345037137069547,0.9406793673776741,0.8381742738589212,0.9550827423167849,0.9262759924385633,0.8928176795580111,0.9228308135271825,0.9852391103245787,980,78,19,404
lr__C0p3__l1__weight_none,3,6025,1690,7715,1693,0,28,0.5357142857142857,0.1475988000165671,1693,1268,425,0.9515652687536916,0.9504583410651326,0.8704103671706264,0.9482352941176471,0.9526813880126183,0.9076576576576577,0.9374156983244253,0.9839172388198182,1208,60,22,403
lr__C0p3__l1__weight_none,4,6184,1692,7876,1534,0,31,0.3548387096774194,0.1578162000514567,1534,1111,423,0.9302477183833116,0.9350094583926478,0.8264462809917356,0.9456264775413712,0.9243924392439244,0.8820286659316428,0.9162572760477279,0.9819705374792799,1027,84,23,400
