model_family,candidate_key,selected_overall_oof,threshold_oof,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
logistic_regression,logistic_regression__C0.01__pca64,True,0.6413025169941251,0.7504621072088724,0.6091193332082103,0.6170307597742904,0.815592203898051,0.44982698961937717,0.8724939855653568,0.34574468085106386,0.6753975498643553,0.37633266307397306,1088,159,246,130
linear_svm,linear_svm__C0.01__pca64,False,0.2116273399445947,0.7455329636475663,0.6059116347318672,0.6129084232246053,0.8144796380090498,0.4377104377104377,0.8660785886126704,0.34574468085106386,0.6714284495555289,0.37163865129236606,1080,167,246,130
