candidate_key,n_estimators,max_depth,min_samples_leaf,max_features,max_samples,theoretical_max_nodes,threshold_oof,elapsed_seconds_total_search,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
rf__trees150__depth8__leaf15__featuressqrt,150,8,15,sqrt,0.8,76650,0.457151564298804,686.932834899053,0.6882316697473814,0.5723374396423757,0.570780336669928,0.8024489795918367,0.33668341708542715,0.7882919005613472,0.35638297872340424,0.609142793768875,0.30985173930603405,983,264,242,134
rf__trees200__depth10__leaf10__featuressqrt,200,10,10,sqrt,0.8,409400,0.4382200428512667,686.932834899053,0.7110289587184226,0.5676677216809705,0.5706651926596708,0.7983128834355828,0.3542319749216301,0.834803528468324,0.300531914893617,0.6101174734255831,0.31749896846119086,1041,206,263,113
rf__trees300__depth8__leaf15__features0p5,300,8,15,0.5,0.8,153300,0.4596108504910251,686.932834899053,0.7097966728280961,0.5677946219863843,0.5706284090851645,0.7984615384615384,0.35294117647058826,0.8323977546110666,0.30319148936170215,0.6129306079271103,0.31423524883396725,1038,209,262,114
rf__trees100__depth4__leaf5__features0p5,100,4,5,0.5,0.8,3100,0.5041153736062298,686.932834899053,0.7153419593345656,0.5667591581497722,0.5702707349502545,0.7975739196360879,0.35855263157894735,0.8436246992782679,0.2898936170212766,0.6001424695865822,0.3084045788360388,1052,195,267,109
rf__trees300__depth4__leaf10__featuressqrt,300,4,10,sqrt,0.8,9300,0.4883358176075868,686.932834899053,0.6654343807763401,0.5797936323772799,0.5701937103041163,0.8087719298245614,0.32712215320910976,0.739374498797113,0.42021276595744683,0.6050713201044208,0.3051383467456471,922,325,218,158
rf__trees300__depth4__leaf5__featuressqrt,300,4,5,sqrt,0.8,9300,0.4859215806316757,686.932834899053,0.6586568083795441,0.5828136463683052,0.5699860351226231,0.8113207547169812,0.3254901960784314,0.7241379310344828,0.44148936170212766,0.6023861522974288,0.3052609874640051,903,344,210,166
rf__trees150__depth8__leaf15__features0p5,150,8,15,0.5,0.8,76650,0.4560959717135421,686.932834899053,0.6943930991990142,0.5698452882663072,0.569974358974359,0.800640512409928,0.339572192513369,0.8019246190858059,0.3377659574468085,0.6089337815011346,0.31312230033220556,1000,247,249,127
rf__trees200__depth10__leaf15__features0p5,200,10,15,0.5,0.8,409400,0.45393086065236143,686.932834899053,0.7264325323475046,0.5656170554010476,0.5699605177097407,0.796309963099631,0.373134328358209,0.8652766639935846,0.26595744680851063,0.6100641539695267,0.3148107339319005,1079,168,276,100
rf__trees100__depth6__leaf10__featuressqrt,100,6,10,sqrt,0.8,12700,0.4743183665246792,686.932834899053,0.6876155268022182,0.5710076524083332,0.569549844661281,0.8017944535073409,0.3350125944584383,0.7882919005613472,0.3537234042553192,0.6164752853657288,0.3109384827629017,983,264,243,133
rf__trees100__depth8__leaf15__features0p5,100,8,15,0.5,0.8,51100,0.46073348482232546,686.932834899053,0.7011706715958103,0.5677540991997816,0.569325254072686,0.7990580847723705,0.3438395415472779,0.8163592622293504,0.3191489361702128,0.609577880530294,0.31614277725563233,1018,229,256,120
