fold,recording_count,threshold,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
0,325,0.469269002334179,0.6861538461538461,0.5712058761361234,0.569838056680162,0.8,0.3375,0.7871485943775101,0.35526315789473684,0.5893045867681251,0.3317757652020462,196,53,49,27
1,325,0.469269002334179,0.7169230769230769,0.592,0.5936616655794738,0.8110236220472441,0.38028169014084506,0.824,0.36,0.6379733333333333,0.3199960653049409,206,44,48,27
2,324,0.469269002334179,0.6790123456790124,0.5908433734939759,0.5821428571428571,0.8138528138528138,0.34408602150537637,0.7550200803212851,0.4266666666666667,0.6118875502008032,0.3272786882750743,188,61,43,32
3,325,0.469269002334179,0.7230769230769231,0.6053333333333333,0.6063045116829977,0.8174603174603174,0.3972602739726027,0.824,0.38666666666666666,0.6293866666666666,0.35695181885794786,206,44,46,29
4,324,0.469269002334179,0.7191358024691358,0.56570281124498,0.5695452222789985,0.7969924812030075,0.3620689655172414,0.8514056224899599,0.28,0.6329852744310575,0.31941639114856063,212,37,54,21
