dataset,experiment,candidate_key,threshold,model_size_kb_joblib,pca_float_count,estimated_pca_float32_kb,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct,rf_tree_count,rf_total_nodes,rf_total_leaves,rf_mean_nodes_per_tree,rf_max_observed_depth
train_oof,raw_pca64_rf_event,rf__trees300__depth6__leaf5__features0p5,0.469269002334179,1904.435546875,266368,1040.5,0.7048675292667899,0.5850210718490334,0.5850998935287353,0.8076923076923077,0.3626666666666667,0.8083400160384924,0.3617021276595745,0.6189685031309184,0.31930329397611884,1008,239,240,136,300,24782,12541,82.60666666666667,6
validation,raw_pca64_rf_event,rf__trees300__depth6__leaf5__features0p5,0.469269002334179,1904.435546875,266368,1040.5,0.6848137535816619,0.5923392297770407,0.5852420051858254,0.8134920634920635,0.35051546391752575,0.7649253731343284,0.41975308641975306,0.6535378662244333,0.34316027865725307,205,63,47,34,300,24782,12541,82.60666666666667,6
