fold,recording_count,threshold,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
0,325,0.5829386662229422,0.6861538461538461,0.5986313675755655,0.590619442797866,0.8154506437768241,0.358695652173913,0.7630522088353414,0.4342105263157895,0.6435214542380047,0.3812538748064739,190,59,43,33
1,325,0.5829386662229422,0.6707692307692308,0.59,0.5785921159462439,0.8149779735682819,0.336734693877551,0.74,0.44,0.6362666666666666,0.33650280194761467,185,65,42,33
2,324,0.5829386662229422,0.6666666666666666,0.5734939759036144,0.5660714285714286,0.8051948051948052,0.3225806451612903,0.7469879518072289,0.4,0.5920749665327979,0.2671168476509671,186,63,45,30
3,325,0.5829386662229422,0.7046153846153846,0.626,0.6147006520450504,0.8318965517241379,0.3870967741935484,0.772,0.48,0.6310399999999999,0.3377655166971787,193,57,39,36
4,324,0.5829386662229422,0.6265432098765432,0.5427309236947792,0.5330133053805196,0.7909090909090909,0.27884615384615385,0.6987951807228916,0.38666666666666666,0.5952878179384203,0.3573370227256495,174,75,46,29
