fold,recording_count,threshold,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
0,325,0.6413025169941251,0.7415384615384616,0.6119213696892835,0.6176470588235294,0.8160919540229885,0.4375,0.8554216867469879,0.3684210526315789,0.6623863876558866,0.37418720836691133,213,36,48,28
1,325,0.6413025169941251,0.7261538461538461,0.5653333333333334,0.5696260917436653,0.7970479704797048,0.37037037037037035,0.864,0.26666666666666666,0.6301866666666667,0.3457615387359596,216,34,55,20
2,324,0.6413025169941251,0.7623456790123457,0.626425702811245,0.6357690342360756,0.8233082706766918,0.4827586206896552,0.8795180722891566,0.37333333333333335,0.6764658634538152,0.38792750085970995,219,30,47,28
3,325,0.6413025169941251,0.7569230769230769,0.6086666666666667,0.6179827106488714,0.8154981549815498,0.46296296296296297,0.884,0.3333333333333333,0.69312,0.3734659949638,221,29,50,25
4,324,0.6413025169941251,0.7654320987654321,0.6330923694779116,0.642487949358267,0.8264150943396227,0.4915254237288136,0.8795180722891566,0.38666666666666666,0.7182329317269077,0.45124858210402086,219,30,46,29
