dataset,experiment,pooling_key,model_family,candidate_key,C,pca_components,output_dimension,score_type,model_size_kb_joblib,learned_inference_float_count,estimated_float32_parameters_kb,threshold_policy,threshold,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
train_oof,wavelet_scattering_recording_linear,mean_std_max,logistic_regression,logistic_regression__C0.01__pca64,0.01,64,64,wet_probability,,0,0.0,fixed_native,0.5,0.6660505237215034,0.6368529150813016,0.603875389520327,0.845927379784102,0.36258278145695366,0.6912590216519647,0.5824468085106383,0.6753975498643553,0.37633266307397306,862,385,157,219
train_oof,wavelet_scattering_recording_linear,mean_std_max,logistic_regression,logistic_regression__C0.01__pca64,0.01,64,64,wet_probability,,0,0.0,oof_tuned_frozen,0.6413025169941251,0.7504621072088724,0.6091193332082103,0.6170307597742904,0.815592203898051,0.44982698961937717,0.8724939855653568,0.34574468085106386,0.6753975498643553,0.37633266307397306,1088,159,246,130
