fold,pca_components,pca_whiten,cumulative_explained_variance_ratio,cumulative_explained_variance_percent
0,64,False,0.9099971055984497,90.99971055984497
0,64,True,0.9099971055984497,90.99971055984497
0,128,False,0.9545506834983826,95.45506834983826
0,128,True,0.9545506834983826,95.45506834983826
0,192,False,0.972832441329956,97.2832441329956
0,192,True,0.972832441329956,97.2832441329956
0,256,False,0.9824354648590088,98.24354648590088
0,256,True,0.9824354648590088,98.24354648590088
0,384,False,0.9919648766517639,99.19648766517639
0,384,True,0.9919648766517639,99.19648766517639
0,512,False,0.9961854219436646,99.61854219436646
0,512,True,0.9961854219436646,99.61854219436646
1,64,False,0.8992320895195007,89.92320895195007
1,64,True,0.8992320895195007,89.92320895195007
1,128,False,0.9474956393241882,94.74956393241882
1,128,True,0.9474956393241882,94.74956393241882
1,192,False,0.9683756828308105,96.83756828308105
1,192,True,0.9683756828308105,96.83756828308105
1,256,False,0.9794676303863525,97.94676303863525
1,256,True,0.9794676303863525,97.94676303863525
1,384,False,0.9905806183815002,99.05806183815002
1,384,True,0.9905806183815002,99.05806183815002
1,512,False,0.995520830154419,99.5520830154419
1,512,True,0.995520830154419,99.5520830154419
2,64,False,0.9097661375999451,90.9766137599945
2,64,True,0.9097661375999451,90.9766137599945
2,128,False,0.9543248414993286,95.43248414993286
2,128,True,0.9543248414993286,95.43248414993286
2,192,False,0.9727770090103149,97.2777009010315
2,192,True,0.9727770090103149,97.2777009010315
2,256,False,0.9824087023735046,98.24087023735046
2,256,True,0.9824087023735046,98.24087023735046
2,384,False,0.9919228553771973,99.19228553771973
2,384,True,0.9919228553771973,99.19228553771973
2,512,False,0.9961590766906738,99.61590766906738
2,512,True,0.9961590766906738,99.61590766906738
3,64,False,0.9102272987365723,91.02272987365723
3,64,True,0.9102272987365723,91.02272987365723
3,128,False,0.9545213580131531,95.45213580131531
3,128,True,0.9545213580131531,95.45213580131531
3,192,False,0.9728280305862427,97.28280305862427
3,192,True,0.9728280305862427,97.28280305862427
3,256,False,0.9823943972587585,98.23943972587585
3,256,True,0.9823943972587585,98.23943972587585
3,384,False,0.9919286966323853,99.19286966323853
3,384,True,0.9919286966323853,99.19286966323853
3,512,False,0.9961546659469604,99.61546659469604
3,512,True,0.9961546659469604,99.61546659469604
4,64,False,0.9103603363037109,91.0360336303711
4,64,True,0.9103603363037109,91.0360336303711
4,128,False,0.9550355672836304,95.50355672836304
4,128,True,0.9550355672836304,95.50355672836304
4,192,False,0.9732540845870972,97.32540845870972
4,192,True,0.9732540845870972,97.32540845870972
4,256,False,0.9826656579971313,98.26656579971313
4,256,True,0.9826656579971313,98.26656579971313
4,384,False,0.9920805096626282,99.20805096626282
4,384,True,0.9920805096626282,99.20805096626282
4,512,False,0.9962236285209656,99.62236285209656
4,512,True,0.9962236285209656,99.62236285209656
