dataset,candidate_key,threshold,minimum_wet_recall_oof,model_size_kb_joblib,learned_inference_float_count,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
train_oof,logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1,0.5451205759080889,0.550531914893617,961.146484375,253221.0,0.7011706715958103,0.6485618676312511,0.6269324482583261,0.8463636363636363,0.395793499043977,0.7465918203688853,0.550531914893617,0.6833378832602501,0.379408099517243,931,316,169,207
validation,logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1,0.5451205759080889,0.550531914893617,961.146484375,253221.0,0.6876790830945558,0.6588124193845587,0.6257170125052884,0.8565022421524664,0.3888888888888889,0.7126865671641791,0.6049382716049383,0.6743596830661508,0.3559763658089218,191,77,32,49
test,logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1,0.5451205759080889,0.550531914893617,961.146484375,,0.6810344827586207,0.6087686567164179,0.5941712280554301,0.8257261410788381,0.35514018691588783,0.7425373134328358,0.475,0.6998600746268657,0.43905746285338515,199,69,42,38
