split,threshold_policy,threshold,candidate_key,representation_key,input_dimension,model_float_count,model_size_kb,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
train_oof,oof_threshold,0.5625249544128728,s1_s2__raw__noamp__C0.0003__pca128,s1_s2__raw__noamp,1929,252828,958.66015625,0.7208872458410351,0.6372432134996332,0.6289143552225471,0.8353040540540541,0.4123006833712984,0.7931034482758621,0.48138297872340424,0.684875616372912,0.37922976253693774,989,258,195,181
train_oof,fixed_0.5,0.5,s1_s2__raw__noamp__C0.0003__pca128,s1_s2__raw__noamp,1929,252828,958.66015625,0.6463339494762785,0.6481715692129195,0.598732452120218,0.8598930481283422,0.3561046511627907,0.644747393744988,0.651595744680851,0.684875616372912,0.37922976253693774,804,443,131,245
validation,oof_threshold,0.5625249544128728,s1_s2__raw__noamp__C0.0003__pca128,s1_s2__raw__noamp,1929,252828,958.66015625,0.673352435530086,0.6021052146674037,0.5877952755905511,0.8208333333333333,0.3486238532110092,0.7350746268656716,0.4691358024691358,0.6510963700018425,0.3351779981162858,197,71,43,38
validation,fixed_0.5,0.5,s1_s2__raw__noamp__C0.0003__pca128,s1_s2__raw__noamp,1929,252828,958.66015625,0.6246418338108882,0.6220748111295376,0.5761932571354413,0.8442211055276382,0.3333333333333333,0.6268656716417911,0.6172839506172839,0.6510963700018425,0.3351779981162858,168,100,31,50
