candidate_key,pooling,parameter_count,threshold_oof,elapsed_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,fixed_0p5__accuracy,fixed_0p5__balanced_accuracy,fixed_0p5__macro_f1,fixed_0p5__dry_precision,fixed_0p5__wet_precision,fixed_0p5__dry_recall,fixed_0p5__wet_recall,fixed_0p5__roc_auc,fixed_0p5__average_precision_wet,fixed_0p5__tn_dry_correct,fixed_0p5__fp_dry_as_wet,fixed_0p5__fn_wet_as_dry,fixed_0p5__tp_wet_correct
mil_mean_max__proj16__emb8__att8__drop0p2__l20p001__lr0p0005,mean_max,12177,0.5402099192142487,48.92362169921398,0.7301293900184843,0.6098199508607893,0.6122020354546168,0.8182533438237608,0.4119318181818182,0.8340016038492382,0.38563829787234044,0.660143919875787,0.3713702144445784,1040,207,231,145,0.6869993838570548,0.6179767612482724,0.6028726663198659,0.8290293855743545,0.368,0.7465918203688853,0.48936170212765956,0.660143919875787,0.3713702144445784,931,316,192,184
mil_attention__proj16__emb8__att8__drop0p2__l20p001__lr0p0005,attention,12321,0.5258840322494507,64.74076899886131,0.6943930991990142,0.620930659113788,0.6076882590303905,0.8296751536435469,0.3760330578512397,0.7578187650360866,0.48404255319148937,0.6645417086113055,0.3603238127291011,945,302,194,182,0.6678989525569933,0.6380558020099303,0.6053807876442443,0.8463796477495108,0.3643926788685524,0.6936647955092221,0.5824468085106383,0.6645417086113055,0.3603238127291011,865,382,157,219
mil_mean__proj16__emb8__att8__drop0p2__l20p001__lr0p0005,mean,12169,0.5180386900901794,46.233577098697424,0.7208872458410351,0.5945172669726493,0.5969479132232425,0.8111285266457681,0.38904899135446686,0.8299919807538091,0.35904255319148937,0.6406588578545956,0.3387785045806341,1035,212,241,135,0.6906962415280345,0.5999483867665376,0.592406899725852,0.8175618073316283,0.36,0.7690457097032879,0.4308510638297872,0.6406588578545956,0.3387785045806341,959,288,214,162
