split,experiment,candidate_key,pooling,threshold_policy,threshold,parameter_count,model_size_kb_float32_keras,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
train_oof,wavelet_scattering_temporal_mil_cnn,mil_mean_max__proj16__emb8__att8__drop0p2__l20p001__lr0p0005,mean_max,fixed_0p5,0.5,12177,218.044921875,0.6869993838570548,0.6179767612482724,0.6028726663198659,0.8290293855743545,0.368,0.7465918203688853,0.48936170212765956,0.660143919875787,0.3713702144445784,931,316,192,184
train_oof,wavelet_scattering_temporal_mil_cnn,mil_mean_max__proj16__emb8__att8__drop0p2__l20p001__lr0p0005,mean_max,oof_tuned,0.5402099192142487,12177,218.044921875,0.7301293900184843,0.6098199508607893,0.6122020354546168,0.8182533438237608,0.4119318181818182,0.8340016038492382,0.38563829787234044,0.660143919875787,0.3713702144445784,1040,207,231,145
validation,wavelet_scattering_temporal_mil_cnn,mil_mean_max__proj16__emb8__att8__drop0p2__l20p001__lr0p0005,mean_max,fixed_0p5,0.5,12177,218.044921875,0.6532951289398281,0.5933526810392482,0.5747374145275476,0.8181818181818182,0.3305084745762712,0.7052238805970149,0.48148148148148145,0.6109268472452551,0.3132773669615975,189,79,42,39
validation,wavelet_scattering_temporal_mil_cnn,mil_mean_max__proj16__emb8__att8__drop0p2__l20p001__lr0p0005,mean_max,oof_tuned_frozen,0.5402099192142487,12177,218.044921875,0.7020057306590258,0.581997420305878,0.581997420305878,0.8059701492537313,0.35802469135802467,0.8059701492537313,0.35802469135802467,0.6109268472452551,0.3132773669615975,216,52,52,29
