experiment,candidate_key,model_name,C,pca_components,score_type,threshold_oof,elapsed_seconds,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
event,linear_svm__C0.01__pcanone,linear_svm,0.01,none,wet_decision_score,0.01948317520741564,1.3795286007225513,0.634011090573013,0.5918534269480797,0.5658708143451555,0.8204121687929342,0.3195364238410596,0.6704089815557338,0.5132978723404256,0.6073917828319882,0.31530337174615575,836,411,183,193
event,logistic_regression__C0.1__pcanone,logistic_regression,0.1,none,wet_probability,0.5125953642509387,1.2919642999768257,0.6346272335181762,0.5876102646351242,0.5637992524518302,0.8174757281553398,0.31703204047217537,0.6752205292702486,0.5,0.6080550768653279,0.31419105300646794,842,405,188,188
event,linear_svm__C0.001__pcanone,linear_svm,0.001,none,wet_decision_score,0.13216300215844584,1.0834269989281893,0.7258163894023414,0.5577854936955076,0.5612428945387654,0.7927007299270074,0.36363636363636365,0.8708901363271853,0.24468085106382978,0.6061441075602724,0.3128046690313107,1086,161,284,92
event,logistic_regression__C0.01__pcanone,logistic_regression,0.01,none,wet_probability,0.5673326745247194,1.19137960113585,0.7252002464571781,0.5573845313859647,0.5607870977137033,0.7925493060628196,0.36220472440944884,0.8700882117080995,0.24468085106382978,0.6072638161374533,0.3136033753648676,1085,162,284,92
event,linear_svm__C0.1__pcanone,linear_svm,0.1,none,wet_decision_score,0.030969761133916238,1.6201176010072231,0.6420209488601355,0.5775606135576448,0.5607843776564155,0.8100558659217877,0.3132969034608379,0.6976744186046512,0.4574468085106383,0.5985535497961064,0.31082133702361325,870,377,204,172
event,logistic_regression__C1__pcanone,logistic_regression,1.0,none,wet_probability,0.5188085179323927,1.4551991987973452,0.6451016635859519,0.574921300482861,0.5602288122836068,0.8080808080808081,0.31273408239700373,0.7056936647955092,0.4441489361702128,0.6010211742223891,0.3095183845480338,880,367,209,167
event,linear_svm__C1__pcanone,linear_svm,1.0,none,wet_decision_score,0.12518757147850113,1.8646321017295122,0.6869993838570548,0.5576031411557952,0.5579174262734584,0.7948922585794094,0.3216216216216216,0.7987169206094628,0.31648936170212766,0.5943263833199679,0.3098386428341764,996,251,257,119
event,logistic_regression__C10__pcanone,logistic_regression,10.0,none,wet_probability,0.564972765291023,1.9443303998559713,0.685150955021565,0.5573290791516661,0.5573821411131183,0.7948717948717948,0.32,0.7955092221331195,0.3191489361702128,0.5972269617294272,0.3074673446019101,992,255,256,120
