gold_multiplier,best_candidate_key,threshold_oof,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
1.0,logistic_regression__C0.001__pca128__gold1,0.5451205938234057,0.7011706715958103,0.6485618676312511,0.6269324482583261,0.8463636363636363,0.39579349904397704,0.7465918203688853,0.550531914893617,0.6833378832602501,0.379408099517243,931,316,169,207
1.5,logistic_regression__C0.001__pca64__gold1p5,0.5335385541744949,0.6931608133086876,0.6535664317766896,0.6257057489830546,0.8516431924882629,0.3906810035842294,0.7273456295108259,0.5797872340425532,0.6838604139296012,0.3822851459859041,907,340,158,218
2.0,logistic_regression__C0.001__pca256__gold2,0.5616618175947425,0.7122612446087492,0.6455621150335273,0.630350760058973,0.8421052631578947,0.4057971014492754,0.7698476343223737,0.5212765957446809,0.6837772355781535,0.38112795919580666,960,287,180,196
3.0,logistic_regression__C0.001__pca256__gold3,0.5711499604355517,0.7233518176216882,0.6453488372093024,0.6351485111336412,0.8398637137989778,0.41870824053452116,0.7906976744186046,0.5,0.6849395997201795,0.38123183652446285,986,261,188,188
