fold,recording_count,threshold,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
0,325,0.5711499604355517,0.7261538461538461,0.6475903614457832,0.6385504529834427,0.8389830508474576,0.42696629213483145,0.7951807228915663,0.5,0.6580532656943563,0.38127620895830083,198,51,38,38
1,325,0.5711499604355517,0.6984615384615385,0.6173333333333333,0.6066735822959889,0.8275862068965517,0.3763440860215054,0.768,0.4666666666666667,0.6331733333333334,0.3534291373954735,192,58,40,35
2,324,0.5711499604355517,0.7314814814814815,0.6482730923694779,0.6404912826660885,0.8403361344537815,0.43023255813953487,0.8032128514056225,0.49333333333333335,0.6960107095046854,0.38013388187984043,200,49,38,37
3,325,0.5711499604355517,0.7353846153846154,0.6553333333333333,0.6464531471362072,0.8445378151260504,0.4367816091954023,0.804,0.5066666666666667,0.7093333333333333,0.38936232058030124,201,49,37,38
4,324,0.5711499604355517,0.7253086419753086,0.6582329317269076,0.6437845116181393,0.8478260869565217,0.425531914893617,0.7831325301204819,0.5333333333333333,0.7288353413654619,0.4668134919177788,195,54,35,40
