dataset,experiment,candidate_key,threshold,model_size_kb_joblib,learned_inference_float_count,estimated_float32_parameters_kb,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
train_oof,recording,logistic_regression__C0.1__pcanone,0.6233847647742679,14.1572265625,1153,4.50390625,0.6993222427603204,0.582341235987647,0.5815613628006644,0.8067906224737268,0.3549222797927461,0.8003207698476343,0.36436170212765956,0.613408350253374,0.3198902773355178,998,249,239,137
validation,recording,logistic_regression__C0.1__pcanone,0.6233847647742679,14.1572265625,1153,4.50390625,0.6790830945558739,0.5713792150359314,0.5679547263241665,0.8023255813953488,0.32967032967032966,0.7723880597014925,0.37037037037037035,0.6260825502119035,0.32994282917013906,207,61,51,30
