experiment,candidate_key,model_name,C,pca_components,score_type,threshold_oof,elapsed_seconds,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
recording,logistic_regression__C0.1__pcanone,logistic_regression,0.1,none,wet_probability,0.6233847647742679,1.4680011998862028,0.6993222427603204,0.582341235987647,0.5815613628006644,0.8067906224737268,0.3549222797927461,0.8003207698476343,0.36436170212765956,0.613408350253374,0.3198902773355178,998,249,239,137
recording,linear_svm__C0.01__pca64,linear_svm,0.01,64,wet_decision_score,0.19248885158965678,1.5160192009061575,0.6937769562538509,0.5796614001262606,0.5780399857922223,0.8058727569331158,0.34760705289672544,0.7923015236567763,0.3670212765957447,0.6174691600266171,0.32906385370918356,988,259,238,138
recording,linear_svm__C0.01__pcanone,linear_svm,0.01,none,wet_decision_score,0.19885549597128874,1.4093644004315138,0.6925446703635243,0.5797883004316743,0.5778401209749935,0.8060556464811784,0.34663341645885287,0.7898957497995188,0.3696808510638298,0.6129732634919551,0.31806954205018634,985,262,237,139
recording,linear_svm__C1__pca64,linear_svm,1.0,64,wet_decision_score,0.19768316045199286,2.0295991003513336,0.6931608133086876,0.5783316128922179,0.5768144139464944,0.8052159739201304,0.34595959595959597,0.7923015236567763,0.36436170212765956,0.6175203467044311,0.32925171469071096,988,259,239,137
recording,linear_svm__C0.1__pca64,linear_svm,0.1,64,wet_decision_score,0.19748083556262086,1.7186763994395733,0.6931608133086876,0.5783316128922179,0.5768144139464944,0.8052159739201304,0.34595959595959597,0.7923015236567763,0.36436170212765956,0.6174990189220085,0.3292589192495492,988,259,239,137
recording,logistic_regression__C0.1__pca64,logistic_regression,0.1,64,wet_probability,0.6033046440858002,1.2194366995245218,0.6906962415280345,0.5785854135030456,0.5764208621872855,0.8055783429040196,0.34405940594059403,0.7874899759422614,0.3696808510638298,0.6174819566960705,0.32864347550896544,982,265,237,139
recording,logistic_regression__C0.01__pcanone,logistic_regression,0.01,none,wet_probability,0.5756433058777042,1.1624935008585453,0.6715958102279729,0.5856609053217082,0.5762067852259595,0.8115183246073299,0.33542976939203356,0.7457898957497995,0.425531914893617,0.6251834189288334,0.3327922084279388,930,317,216,160
recording,logistic_regression__C10__pca64,logistic_regression,10.0,64,wet_probability,0.571886076271978,1.3534130994230509,0.6648182378311769,0.5886809193127336,0.5759471297932837,0.8141197497765862,0.3333333333333333,0.7305533279871692,0.44680851063829785,0.617520346704431,0.3283886140052641,911,336,208,168
recording,logistic_regression__C1__pca64,logistic_regression,1.0,64,wet_probability,0.5716643058018781,1.3061258997768164,0.6648182378311769,0.5886809193127336,0.5759471297932837,0.8141197497765862,0.3333333333333333,0.7305533279871692,0.44680851063829785,0.6175054172567354,0.3283648936151905,911,336,208,168
recording,linear_svm__C0.001__pca64,linear_svm,0.001,64,wet_decision_score,0.09932552563666172,1.237669300287962,0.6592729513247073,0.5897163831493457,0.5746260698698028,0.8154545454545454,0.33078393881453155,0.7193263833199679,0.4601063829787234,0.6173731850057159,0.3285992441197729,897,350,203,173
recording,logistic_regression__C0.01__pca64,logistic_regression,0.01,64,wet_probability,0.5751886008175513,1.3183613996952772,0.6820702402957486,0.5785448907164429,0.5741630394988406,0.8063704945515507,0.3372093023255814,0.7714514835605453,0.38563829787234044,0.6176099233906056,0.3284608109500478,962,285,231,145
recording,linear_svm__C0.001__pcanone,linear_svm,0.001,none,wet_decision_score,0.11549931284664497,1.1284873001277447,0.6586568083795441,0.5893154208398028,0.5741489059391872,0.8152866242038217,0.3301526717557252,0.7185244587008821,0.4601063829787234,0.6252879250627037,0.3338695015526985,896,351,203,173
recording,linear_svm__C0.1__pcanone,linear_svm,0.1,none,wet_decision_score,0.2198589339369767,2.0190945006906986,0.6777572396796057,0.572022854851644,0.5680270533662765,0.8031825795644891,0.32867132867132864,0.7690457097032879,0.375,0.5988862632018973,0.3101104416294045,959,288,235,141
recording,linear_svm__C0.1__pca32,linear_svm,0.1,32,wet_decision_score,0.24272802772126273,1.6483727004379034,0.7165742452248922,0.5619881332218601,0.5655073678329492,0.795198799699925,0.35517241379310344,0.8500400962309543,0.27393617021276595,0.6067242232421641,0.30284846557575534,1060,187,273,103
recording,linear_svm__C1__pca32,linear_svm,1.0,32,wet_decision_score,0.24355871488765585,1.5552783999592066,0.7165742452248922,0.5619881332218601,0.5655073678329492,0.795198799699925,0.35517241379310344,0.8500400962309543,0.27393617021276595,0.6067178249074374,0.3028351030032351,1060,187,273,103
recording,linear_svm__C0.01__pca32,linear_svm,0.01,32,wet_decision_score,0.23477572801883487,1.2269666008651257,0.7159581022797289,0.5615871709123172,0.5650470615797181,0.795045045045045,0.3539518900343643,0.8492381716118684,0.27393617021276595,0.6067796754764627,0.3029423290567043,1059,188,273,103
recording,logistic_regression__C1__pcanone,logistic_regression,1.0,none,wet_probability,0.6571530238632994,1.9767860993742943,0.6796056685150955,0.5676527922332748,0.5650228837669566,0.8006617038875103,0.32608695652173914,0.7762630312750601,0.35904255319148937,0.5994642461055469,0.3109478427252973,968,279,241,135
recording,linear_svm__C0.001__pca32,linear_svm,0.001,32,wet_decision_score,0.1399863029381861,1.2258023992180824,0.6888478126925447,0.5653078025559215,0.565000135337891,0.7987117552334944,0.33070866141732286,0.7955092221331195,0.3351063829787234,0.6068415260454879,0.3028257490773318,992,255,250,126
recording,logistic_regression__C0.01__pca32,logistic_regression,0.01,32,wet_probability,0.5793871091645545,1.250830801203847,0.6913123844731978,0.5641251770205942,0.5644185384997372,0.797923322683706,0.33153638814016173,0.8011226944667201,0.3271276595744681,0.606713559350953,0.30149758070371374,999,248,253,123
