dataset,threshold,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct,cough_quality
train_oof,0.5,7696,5592,2104,0.964527027027027,0.9555791951565789,0.9345040341718084,0.9358365019011406,0.9753218884120172,0.9351697933982428,0.955376686342266,0.9878910223458826,5454,138,135,1969,
train_fit,0.5,7696,5592,2104,0.9707640332640332,0.9617980194411352,0.950599520383693,0.9420152091254752,0.9815808297567954,0.946287896872762,0.9631019953880904,0.9919521947431692,5489,103,122,1982,
validation,0.5,1699,1243,456,0.9735138316656856,0.9638484283919776,0.9576837416481068,0.9429824561403508,0.9847144006436042,0.9502762430939228,0.9661128507888386,0.9937791985998786,1224,19,26,430,
test,0.5,1687,1259,428,0.970954356846473,0.9628051858395255,0.9396751740139211,0.9462616822429907,0.9793486894360603,0.9429569266589057,0.9617369126336278,0.993829474512482,1233,26,23,405,
test_good_cough_vs_shared_no_cough,0.5,1477,1259,218,0.981042654028436,0.9850871887547274,0.8925619834710744,0.9908256880733946,0.9793486894360603,0.9391304347826087,0.9639517450577038,0.9978612704126618,1233,26,2,216,good
test_ok_cough_vs_shared_no_cough,0.5,1405,1259,146,0.9786476868327402,0.9759757145810439,0.8452380952380952,0.9726027397260274,0.9793486894360603,0.9044585987261147,0.946219683978442,0.9974920299868345,1233,26,4,142,ok
test_poor_cough_vs_shared_no_cough,0.5,1298,1259,39,0.977657935285054,0.9512128062564917,0.5806451612903226,0.9230769230769231,0.9793486894360603,0.7128712871287128,0.8506240203178634,0.9958656646504145,1233,26,3,36,poor
