dataset,dataset_origin,threshold,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct
train_oof_coughvid,COUGHVID,0.5,2034,51,1983,0.9552605703048181,0.6427427249265818,0.9821610601427115,0.9717599596570852,0.3137254901960784,0.9769328263624841,0.6185477139942502,0.8754214746917426,16,35,56,1927
train_oof_fsd50k,FSD50K,0.5,5662,5541,121,0.9678558813140233,0.6642593678081201,0.2896551724137931,0.34710743801652894,0.9814112975997112,0.3157894736842105,0.6496654006149394,0.8572489675014653,5438,103,79,42
