dataset,experiment,candidate_key,threshold,input_feature_count,selected_feature_count,selected_feature_fraction,model_size_kb_joblib,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct,rf_tree_count,rf_total_nodes,rf_total_leaves,rf_mean_nodes_per_tree,rf_max_observed_depth
train_oof,wavelet_scattering_mi_rf_event,mi_100pct__k644,0.4037241592771268,644,644,1.0,2945.759765625,0.7270486752926679,0.631035762425566,0.6271826869080008,0.8305921052631579,0.4176904176904177,0.809943865276664,0.4521276595744681,0.6663119145523726,0.37500514074451946,1010,237,206,170,300,81278,40789,270.9266666666667,10
validation,wavelet_scattering_mi_rf_event,mi_100pct__k644,0.4037241592771268,644,644,1.0,2945.759765625,0.7020057306590258,0.6207619310853141,0.6107250107250107,0.828,0.3838383838383838,0.7723880597014925,0.4691358024691358,0.65234015109637,0.3506306095406482,207,61,43,38,300,81278,40789,270.9266666666667,10
