candidate,weight_policy,fold,n_physical_train,n_original_validation,n_augmented_validation,n_new_fsd50k_cough_validation,recall_new_fsd50k_cough,fit_seconds,n_original_negative_train,n_original_positive_train,n_augmented_positive_train,effective_negative_weight,effective_positive_weight,effective_total_weight,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct
lr__C0p3__l1__weight_none,family_normalized_1p0,0,7962,1453,0,21,0.38095238095238093,0.1958957000169903,4568,1697,1697,4568.0,1697.0,6265.0,1453,1035,418,0.9697178251892636,0.9651954325867369,0.9410377358490566,0.9545454545454546,0.9758454106280193,0.9477434679334917,0.9632128192380637,0.9895800106326421,1010,25,19,399
lr__C0p3__l1__weight_none,family_normalized_1p0,1,7850,1557,0,27,0.37037037037037035,0.19608949997927994,4472,1689,1689,4472.0,1689.0,6161.0,1557,1131,426,0.9434810533076429,0.9442690626517727,0.8611111111111112,0.9460093896713615,0.9425287356321839,0.901565995525727,0.9309631779430436,0.9845456470031506,1066,65,23,403
lr__C0p3__l1__weight_none,family_normalized_1p0,2,7929,1481,0,25,0.52,0.18669499992392957,4545,1692,1692,4545.0,1692.0,6237.0,1481,1058,423,0.9473328831870358,0.9439830269878937,0.8859060402684564,0.9361702127659575,0.9517958412098299,0.9103448275862069,0.9365299663743654,0.9849151125947972,1007,51,27,396
lr__C0p3__l1__weight_none,family_normalized_1p0,3,7715,1693,0,28,0.42857142857142855,0.12922340002842247,4335,1690,1690,4335.0,1690.0,6025.0,1693,1268,425,0.9562906083874778,0.9465735758025607,0.9016018306636155,0.9270588235294117,0.9660883280757098,0.91415313225058,0.9424172951268748,0.9842660976062348,1225,43,31,394
lr__C0p3__l1__weight_none,family_normalized_1p0,4,7876,1534,0,31,0.3548387096774194,0.19606770004611462,4492,1692,1692,4492.0,1692.0,6184.0,1534,1111,423,0.9511082138200783,0.9479469223518097,0.8883928571428571,0.9408983451536643,0.954995499549955,0.9138920780711826,0.9398773089491097,0.9817854125838116,1061,50,25,398
