dataset,dataset_origin,threshold,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct
train_oof_coughvid,COUGHVID,0.5,2034,51,1983,0.960668633235005,0.6646198570199638,0.9832402234636871,0.9762985375693394,0.35294117647058826,0.979757085020243,0.645050956303225,0.8678769541099345,18,33,47,1936
train_oof_fsd50k,FSD50K,0.5,5684,5552,132,0.9509148486981,0.6864438695310453,0.21176470588235294,0.4090909090909091,0.9637968299711815,0.27906976744186046,0.6268311226791308,0.8470125425727011,5351,201,78,54
