dataset,threshold,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct
train_oof,0.5,7718,5603,2115,0.9534853589012697,0.9495675020431895,0.8947841726618705,0.9408983451536643,0.9582366589327146,0.9172620419451486,0.9424554780330411,0.9850248241717858,5369,234,125,1990
train_fit_original,0.5,7718,5603,2115,0.9611298263798912,0.9551268760529756,0.9183955739972337,0.9418439716312057,0.9684097804747457,0.9299719887955182,0.9515354922456788,0.9886580517276079,5426,177,123,1992
validation,0.5,1709,1246,463,0.9514335868929198,0.947013163505507,0.889344262295082,0.937365010799136,0.956661316211878,0.9127234490010515,0.9395396734263466,0.988152151680193,1192,54,29,434
