fold,selected_coch_model,alpha_wst,weight_coch,threshold,selection_train_rows,held_rows,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
0,coch_raw_pca64_rf,0.6,0.4,0.5006497221101766,1298,325,0.6707692307692308,0.6068748678926231,0.5903473948332528,0.8227272727272728,0.3523809523809524,0.7269076305220884,0.4868421052631579,0.6523462270133163,0.3835256490820228,181,68,39,37
1,coch_raw_pca64_rf,0.8,0.19999999999999996,0.5218236572790236,1298,325,0.6738461538461539,0.6246666666666667,0.6008296255098258,0.8364485981308412,0.36036036036036034,0.716,0.5333333333333333,0.6371733333333335,0.35477564608777107,179,71,35,40
2,coch_raw_pca64_rf,0.6,0.4,0.5006159772334025,1299,324,0.7098765432098766,0.6808032128514057,0.6478260869565218,0.8672985781990521,0.415929203539823,0.7349397590361446,0.6266666666666667,0.7094511378848729,0.3847008793261125,183,66,28,47
3,coch_raw_pca64_rf,0.8,0.19999999999999996,0.5248999438745263,1298,325,0.7138461538461538,0.66,0.6389794675171104,0.852017937219731,0.4117647058823529,0.76,0.56,0.7157333333333334,0.3927753153464856,190,60,33,42
4,coch_raw_pca64_rf,0.8,0.19999999999999996,0.5248999438745263,1299,324,0.6975308641975309,0.6587951807228916,0.6304985337243402,0.8544600938967136,0.3963963963963964,0.7309236947791165,0.5866666666666667,0.7235876840696118,0.4674054944553606,182,67,31,44
