candidate_key,coch_model,alpha_wst,weight_coch,threshold_oof,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,fixed_0p5__accuracy,fixed_0p5__balanced_accuracy,fixed_0p5__macro_f1,fixed_0p5__dry_precision,fixed_0p5__wet_precision,fixed_0p5__dry_recall,fixed_0p5__wet_recall,fixed_0p5__roc_auc,fixed_0p5__average_precision_wet,fixed_0p5__tn_dry_correct,fixed_0p5__fp_dry_as_wet,fixed_0p5__fn_wet_as_dry,fixed_0p5__tp_wet_correct
late_fusion__wst_lr__coch_raw_pca64_xgb__alpha0p30,coch_raw_pca64_xgb,0.3,0.7,0.5155746667877636,0.7085643869377696,0.6329392670067737,0.6210356864121509,0.8347750865051903,0.3961456102783726,0.7738572574178028,0.4920212765957447,0.6814269139551945,0.37061960652283404,965,282,191,185,0.6765249537892791,0.6436692743435308,0.6124340411247703,0.8484555984555985,0.3730834752981261,0.7048917401764234,0.5824468085106383,0.6814269139551945,0.37061960652283404,879,368,157,219
late_fusion__wst_lr__coch_raw_pca64_xgb__alpha0p35,coch_raw_pca64_xgb,0.35,0.65,0.5159819682323963,0.7054836722119532,0.6337209302325582,0.6202241272626162,0.8358078602620087,0.39330543933054396,0.7674418604651163,0.5,0.684028903410739,0.3732984437802238,957,290,188,188,0.6722119531731362,0.6390048883277313,0.6079710144927537,0.846079380445305,0.3677966101694915,0.7008821170809943,0.5771276595744681,0.684028903410739,0.3732984437802238,874,373,159,217
late_fusion__wst_lr__coch_raw_pca64_rf__alpha0p25,coch_raw_pca64_rf,0.25,0.75,0.47247914970944527,0.6974738139248305,0.6396543193024962,0.6202206066324962,0.8411552346570397,0.3883495145631068,0.7473937449879712,0.5319148936170213,0.6831288709925096,0.3784439209683562,932,315,176,200,0.7313616759088108,0.6031912760838779,0.6069956013684631,0.8145849495733126,0.4101796407185629,0.8420208500400962,0.36436170212765956,0.6831288709925096,0.3784439209683562,1050,197,239,137
late_fusion__wst_lr__coch_raw_pca64_xgb__alpha0p40,coch_raw_pca64_xgb,0.4,0.6,0.5167512842246129,0.7024029574861368,0.6354314183828422,0.6199400463397287,0.8374558303886925,0.3910386965376782,0.7602245388933441,0.5106382978723404,0.685739391561023,0.37579097306280285,948,299,184,192,0.6691312384473198,0.6397865515535157,0.606845051883041,0.8473581213307241,0.36605657237936773,0.6944667201283079,0.5851063829787234,0.685739391561023,0.37579097306280285,866,381,156,220
late_fusion__wst_lr__coch_raw_pca64_rf__alpha0p45,coch_raw_pca64_rf,0.45,0.55,0.5029879024868472,0.7122612446087492,0.6288432663925335,0.6199137568331838,0.8316326530612245,0.3982102908277405,0.7842822774659182,0.4734042553191489,0.6885909160709107,0.3845566599751365,978,269,198,178,0.7054836722119532,0.6272191557610606,0.6161411946324664,0.8317515099223468,0.3900862068965517,0.773055332798717,0.48138297872340424,0.6885909160709107,0.3845566599751365,964,283,195,181
late_fusion__wst_lr__coch_raw_pca64_xgb__alpha0p50,coch_raw_pca64_xgb,0.5,0.5,0.528315203397177,0.7091805298829328,0.6305537545428177,0.6197780380789771,0.8331900257953568,0.39565217391304347,0.7770649558941459,0.48404255319148937,0.6873133819038032,0.3791952259373137,969,278,194,182,0.662969808995687,0.640421053080585,0.604067426824716,0.8493013972055888,0.36231884057971014,0.6824378508420208,0.598404255319149,0.6873133819038032,0.3791952259373137,851,396,151,225
late_fusion__wst_lr__coch_raw_pca64_xgb__alpha0p25,coch_raw_pca64_xgb,0.25,0.75,0.5130783774746102,0.707332101047443,0.6312085174631883,0.6194333003081853,0.8339100346020761,0.39400428265524623,0.773055332798717,0.48936170212765956,0.6769054240816258,0.36704084106404,964,283,192,184,0.6746765249537893,0.635035788018905,0.6071226847606822,0.8427073403241182,0.367595818815331,0.7089013632718525,0.5611702127659575,0.6769054240816258,0.36704084106404,884,363,165,211
late_fusion__wst_lr__coch_raw_pca64_xgb__alpha0p55,coch_raw_pca64_xgb,0.55,0.44999999999999996,0.5189689840583529,0.6943930991990142,0.639507157603781,0.6187325944870702,0.8416742493175614,0.38549618320610685,0.7417802726543705,0.5372340425531915,0.6872621952259892,0.37915560262681064,925,322,174,202,0.6635859519408502,0.645466140012626,0.6067532306163022,0.8529707955689829,0.36507936507936506,0.6792301523656776,0.6117021276595744,0.6872621952259892,0.37915560262681064,847,400,146,230
late_fusion__wst_lr__coch_raw_pca64_rf__alpha0p20,coch_raw_pca64_rf,0.2,0.8,0.46732796482941685,0.6925446703635243,0.6401619205241516,0.6182477929250101,0.8424908424908425,0.384180790960452,0.7377706495589414,0.5425531914893617,0.6780123359893531,0.37420506900532285,920,327,172,204,0.74060382008626,0.5915580371615281,0.5982987384279468,0.8077496274217586,0.4199288256227758,0.8692862870890137,0.31382978723404253,0.6780123359893531,0.37420506900532285,1084,163,258,118
late_fusion__wst_lr__coch_raw_pca64_xgb__alpha0p45,coch_raw_pca64_xgb,0.45,0.55,0.5158771948000558,0.6980899568699939,0.6354111569895409,0.6180406132329209,0.838248436103664,0.3869047619047619,0.7522052927024859,0.5186170212765957,0.686876162364142,0.3781246702222061,938,309,181,195,0.6635859519408502,0.6371067156921292,0.6027807561419048,0.8466864490603363,0.3611111111111111,0.6864474739374499,0.5877659574468085,0.686876162364142,0.3781246702222061,856,391,155,221
late_fusion__wst_lr__coch_raw_pca64_rf__alpha0p15,coch_raw_pca64_rf,0.15,0.85,0.4613509996401036,0.6833025261860751,0.6387916105035063,0.613185832829465,0.8434864104967198,0.37589928057553956,0.7217321571772254,0.5558510638297872,0.6704836287942124,0.36601664236592046,900,347,167,209,0.744916820702403,0.5795035745363339,0.5862814204016492,0.8015930485155685,0.4214876033057851,0.8877305533279871,0.2712765957446808,0.6704836287942124,0.36601664236592046,1107,140,274,102
late_fusion__wst_lr__coch_raw_pca64_xgb__alpha0p20,coch_raw_pca64_xgb,0.2,0.8,0.5150386751092801,0.7085643869377696,0.6208645429882782,0.6131611449372711,0.8274111675126904,0.3900226757369615,0.7842822774659182,0.4574468085106383,0.669820334760873,0.3599012994735724,978,269,204,172,0.6746765249537893,0.6303916633964066,0.6046649812699526,0.8394711992445704,0.36524822695035464,0.7129109863672815,0.5478723404255319,0.669820334760873,0.3599012994735724,889,358,170,206
late_fusion__wst_lr__coch_raw_pca64_xgb__alpha0p15,coch_raw_pca64_xgb,0.15,0.85,0.5171061234618043,0.711645101663586,0.6117234554419969,0.6078463362149079,0.8216350123864574,0.3883495145631068,0.7979149959903769,0.425531914893617,0.6600543431896124,0.34940322148024405,995,252,216,160,0.6678989525569933,0.6204081284444369,0.5961741664139284,0.8339622641509434,0.3552397868561279,0.7089013632718525,0.5319148936170213,0.6600543431896124,0.34940322148024405,884,363,176,200
late_fusion__wst_lr__coch_raw_pca64_rf__alpha0p10,coch_raw_pca64_rf,0.1,0.9,0.46529842439866353,0.6919285274183611,0.620255634800116,0.6062743804219147,0.8296557811120918,0.373469387755102,0.7538091419406576,0.4867021276595745,0.6583694483782354,0.35344877699888144,940,307,193,183,0.7498459642637092,0.5604194748246856,0.5631566525767564,0.7926235212247739,0.41935483870967744,0.9133921411387329,0.2074468085106383,0.6583694483782354,0.35344877699888144,1139,108,298,78
late_fusion__wst_lr__coch_raw_pca64_rf__alpha0p05,coch_raw_pca64_rf,0.05,0.95,0.47098113137489683,0.7060998151571165,0.5951112457131157,0.593571127454506,0.8130081300813008,0.37150127226463103,0.8019246190858059,0.3882978723404255,0.6413690730092647,0.3385290344227164,1000,247,230,146,0.7529266789895256,0.549420737429405,0.5471883603412805,0.7877551020408163,0.41830065359477125,0.9286287089013633,0.1702127659574468,0.6413690730092647,0.3385290344227164,1158,89,312,64
late_fusion__wst_lr__coch_raw_pca64_xgb__alpha0p10,coch_raw_pca64_xgb,0.1,0.9,0.5220522817699456,0.7153419593345656,0.5909086061867631,0.5925407879807504,0.8097868981846882,0.3792134831460674,0.8227746591820368,0.35904255319148937,0.6467714002968827,0.3370066880741295,1026,221,241,135,0.6586568083795441,0.6051054445562969,0.5836164356156873,0.8253521126760563,0.34050179211469533,0.7048917401764234,0.5053191489361702,0.6467714002968827,0.3370066880741295,879,368,186,190
late_fusion__wst_lr__coch_raw_pca64_rf__alpha0p00,coch_raw_pca64_rf,0.0,1.0,0.469269002334179,0.7048675292667899,0.5850210718490334,0.5850998935287353,0.8076923076923077,0.3626666666666667,0.8083400160384924,0.3617021276595745,0.6189685031309184,0.31930329397611884,1008,239,240,136,0.7510782501540357,0.5342854766332815,0.5239944014031338,0.781563126252505,0.3888888888888889,0.9382518043303929,0.13031914893617022,0.6189685031309184,0.31930329397611884,1170,77,327,49
late_fusion__wst_lr__coch_raw_pca64_xgb__alpha0p05,coch_raw_pca64_xgb,0.05,0.95,0.5129823393500412,0.6919285274183611,0.5877467624426282,0.5838888319146754,0.8104738154613467,0.3523809523809524,0.7818765036086608,0.39361702127659576,0.6298712655052978,0.32192464403397225,975,272,228,148,0.6506469500924215,0.5924623351362419,0.5730265187807532,0.8183520599250936,0.3279279279279279,0.7008821170809943,0.48404255319148937,0.6298712655052978,0.32192464403397225,874,373,194,182
late_fusion__wst_lr__coch_raw_pca64_xgb__alpha0p00,coch_raw_pca64_xgb,0.0,1.0,0.5179383493959904,0.7054836722119532,0.5770626098380794,0.5784296464389582,0.8034727703235991,0.35674157303370785,0.8163592622293504,0.3377659574468085,0.6086991758944872,0.3036836111326882,1018,229,249,127,0.6426370918052988,0.5761039260181884,0.5601050506560993,0.809082483781279,0.3125,0.7000801924619086,0.4521276595744681,0.6086991758944872,0.3036836111326882,873,374,206,170
