coch_model,candidate_key,selected_overall_oof,alpha_wst,weight_coch,threshold_oof,model_size_kb_combined,train_oof__accuracy,train_oof__balanced_accuracy,train_oof__macro_f1,train_oof__dry_precision,train_oof__wet_precision,train_oof__dry_recall,train_oof__wet_recall,train_oof__roc_auc,train_oof__average_precision_wet,train_oof__tn_dry_correct,train_oof__fp_dry_as_wet,train_oof__fn_wet_as_dry,train_oof__tp_wet_correct,validation__accuracy,validation__balanced_accuracy,validation__macro_f1,validation__dry_precision,validation__wet_precision,validation__dry_recall,validation__wet_recall,validation__roc_auc,validation__average_precision_wet,validation__tn_dry_correct,validation__fp_dry_as_wet,validation__fn_wet_as_dry,validation__tp_wet_correct
coch_raw_pca64_rf,late_fusion__wst_lr__coch_raw_pca64_rf__alpha0p80,True,0.8,0.19999999999999996,0.5248999438745263,2865.5712890625,0.7036352433764633,0.6520233667184221,0.6300092940458863,0.8481818181818181,0.39961759082217974,0.748195669607057,0.5558510638297872,0.6852360558958521,0.38156922189696474,933,314,167,209,0.6790830945558739,0.6489082365948038,0.6164835164835165,0.8513513513513513,0.3779527559055118,0.7052238805970149,0.5925925925925926,0.6777224986180208,0.3578866864561311,189,79,33,48
coch_raw_pca64_xgb,late_fusion__wst_lr__coch_raw_pca64_xgb__alpha0p80,False,0.8,0.19999999999999996,0.5320811694997682,1947.412109375,0.7024029574861368,0.6502926171748367,0.6284708711521062,0.8472727272727273,0.3977055449330784,0.7473937449879712,0.5531914893617021,0.6852637820130014,0.3793244553442949,932,315,168,208,0.6819484240687679,0.6550810761009767,0.6209528282502128,0.8552036199095022,0.3828125,0.7052238805970149,0.6049382716049383,0.6788280818131565,0.3581257120220883,189,79,32,49
