fold,recording_count,threshold,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
0,325,0.5943767617947958,0.7169230769230769,0.604998943140985,0.604998943140985,0.8152610441767069,0.39473684210526316,0.8152610441767069,0.39473684210526316,0.6325301204819277,0.34920968196927454,203,46,46,30
1,325,0.5943767617947958,0.68,0.6006666666666667,0.58888780772599,0.8201754385964912,0.35051546391752575,0.748,0.4533333333333333,0.6289066666666667,0.34557408470706275,187,63,41,34
2,324,0.5943767617947958,0.7222222222222222,0.6236144578313253,0.6200750469043151,0.8271604938271605,0.4074074074074074,0.8072289156626506,0.44,0.6887817938420348,0.36403138839968985,201,48,42,33
3,325,0.5943767617947958,0.7661538461538462,0.6473333333333333,0.65406162464986,0.8346153846153846,0.49230769230769234,0.868,0.4266666666666667,0.72848,0.4354572675563502,217,33,43,32
4,324,0.5943767617947958,0.7530864197530864,0.6716465863453815,0.6652027899767502,0.8506224066390041,0.46987951807228917,0.8232931726907631,0.52,0.7073627844712181,0.452454144288146,205,44,36,39
