dataset,policy,candidate_key,alpha_wst,weight_cnn,threshold_policy,threshold,combined_model_size_kb,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
train_oof_meta_cv,max_macro_f1,fold_specific_selection,,,fold_specific_train_oof,,,0.7165742452248922,0.6177176286918391,0.6138831999007013,0.8244023083264633,0.3975609756097561,0.8019246190858059,0.4335106382978723,0.707478800184272,0.4058985000589989,1000,247,213,163
train_oof,max_macro_f1,late_fusion_wst_logmel_cnn__max_macro_f1__alpha0p35,0.35,0.65,oof_selected_frozen,0.5749472549246547,1089.7099609375,0.7461491065927295,0.6304620450784009,0.633788407867123,0.8274509803921568,0.4482758620689655,0.8460304731355253,0.4148936170212766,0.7079544097322938,0.4061071763067705,1055,192,220,156
validation,max_macro_f1,late_fusion_wst_logmel_cnn__max_macro_f1__alpha0p35,0.35,0.65,oof_selected_frozen,0.5749472549246547,1089.7099609375,0.7335243553008596,0.6455914870093974,0.6398348813209493,0.8378378378378378,0.4333333333333333,0.8097014925373134,0.4814814814814814,0.6915422885572139,0.4020446234320027,217,51,42,39
train_oof_meta_cv,max_macro_f1_wet_recall_ge_0p55,fold_specific_selection,,,fold_specific_train_oof,,,0.6839186691312384,0.6271178487945537,0.6070060251911045,0.8354661791590493,0.3705103969754253,0.7329591018444266,0.5212765957446809,0.6929759081369756,0.3901327282961465,914,333,180,196
train_oof,max_macro_f1_wet_recall_ge_0p55,late_fusion_wst_logmel_cnn__max_macro_f1_wet_recall_ge_0p55__alpha1p00,1.0,0.0,oof_selected_frozen,0.5451205938234057,961.1357421875,0.7011706715958103,0.6485618676312511,0.6269324482583261,0.8463636363636363,0.395793499043977,0.7465918203688853,0.550531914893617,0.6833378832602501,0.379408099517243,931,316,169,207
validation,max_macro_f1_wet_recall_ge_0p55,late_fusion_wst_logmel_cnn__max_macro_f1_wet_recall_ge_0p55__alpha1p00,1.0,0.0,oof_selected_frozen,0.5451205938234057,961.1357421875,0.6876790830945558,0.6588124193845587,0.6257170125052884,0.8565022421524664,0.3888888888888889,0.7126865671641791,0.6049382716049383,0.6743596830661508,0.3559763658089218,191,77,32,49
test,max_macro_f1,late_fusion_wst_logmel_cnn__max_macro_f1__alpha0p35,0.35,0.65,oof_selected_frozen,0.5749472549246547,1089.7099609375,0.7729885057471264,0.6728544776119403,0.6751237843139573,0.8487084870848709,0.5064935064935064,0.8582089552238806,0.4875,0.7219682835820895,0.4339878366714639,230,38,41,39
