projection_key,pca_components,output_dimension,fixed_rf,threshold_oof,selected_projection,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,fixed_0p5__accuracy,fixed_0p5__balanced_accuracy,fixed_0p5__macro_f1,fixed_0p5__dry_precision,fixed_0p5__wet_precision,fixed_0p5__dry_recall,fixed_0p5__wet_recall,fixed_0p5__roc_auc,fixed_0p5__average_precision_wet,fixed_0p5__tn_dry_correct,fixed_0p5__fp_dry_as_wet,fixed_0p5__fn_wet_as_dry,fixed_0p5__tp_wet_correct
no_pca,,1932,rf__trees200__depth8__leaf5__features0p1,0.4163093226266456,True,0.7128773875539125,0.6478207271920695,0.6319634765412105,0.8434476693051891,0.4074074074074074,0.7690457097032879,0.526595744680851,0.673625211145046,0.36119497348624147,959,288,178,198,0.7387553912507702,0.5866398505349009,0.5931195633150592,0.8054936896807721,0.41304347826086957,0.8700882117080995,0.30319148936170215,0.673625211145046,0.36119497348624147,1085,162,262,114
pca32,32.0,32,rf__trees200__depth8__leaf5__features0p1,0.42886871203040056,False,0.7017868145409735,0.6145963077343071,0.6063932559948049,0.8246808510638298,0.3794642857142857,0.7770649558941459,0.4521276595744681,0.6682655394222731,0.36298249586074716,969,278,206,170,0.7609365372766482,0.5499891228309646,0.5457978708058048,0.7876758204956463,0.45384615384615384,0.9430633520449078,0.15691489361702127,0.6682655394222731,0.36298249586074716,1176,71,317,59
pca64,64.0,64,rf__trees200__depth8__leaf5__features0p1,0.42175275924543765,False,0.7147258163894024,0.6025823678957157,0.6019093753923564,0.8161290322580645,0.38642297650130547,0.8115477145148356,0.39361702127659576,0.6634539917077582,0.3566490255842403,1012,235,228,148,0.7640172520024646,0.5204138869456909,0.48965993420517906,0.7758620689655172,0.43859649122807015,0.9743384121892542,0.06648936170212766,0.6634539917077582,0.3566490255842403,1215,32,351,25
pca128,128.0,128,rf__trees200__depth8__leaf5__features0p1,0.39069517394754605,False,0.6913123844731978,0.6124240730945759,0.601047521152813,0.8249128919860628,0.3684210526315789,0.7594226142742582,0.4654255319148936,0.6647251275401389,0.35721575908405756,947,300,201,175,0.7664818237831177,0.5052988875428689,0.4513903939337994,0.7702366127023661,0.4117647058823529,0.991980753809142,0.018617021276595744,0.6647251275401389,0.35721575908405756,1237,10,369,7
pca256,256.0,256,rf__trees200__depth8__leaf5__features0p1,0.39742688524074166,False,0.7479975354282193,0.590796635329045,0.5986726955815164,0.8067349926793558,0.4357976653696498,0.8837209302325582,0.2978723404255319,0.6593313313654899,0.3456158871159528,1102,145,264,112,0.7677141096734442,0.5005278626149567,0.4368903536098613,0.7685185185185185,0.3333333333333333,0.9983961507618284,0.0026595744680851063,0.6593313313654899,0.3456158871159528,1245,2,375,1
