candidate_key,hidden_units,dropout_rate,l2_strength,learning_rate,parameter_count,threshold_oof,elapsed_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,fixed_0p5__accuracy,fixed_0p5__balanced_accuracy,fixed_0p5__macro_f1,fixed_0p5__dry_precision,fixed_0p5__wet_precision,fixed_0p5__dry_recall,fixed_0p5__wet_recall,fixed_0p5__roc_auc,fixed_0p5__average_precision_wet,fixed_0p5__tn_dry_correct,fixed_0p5__fp_dry_as_wet,fixed_0p5__fn_wet_as_dry,fixed_0p5__tp_wet_correct
compact__h64x16__drop0p3__l20p01__lr0p0005,64x16,0.3,0.01,0.0005,124769,0.5621482133865356,31.803400499746203,0.7122612446087492,0.6084091180535413,0.6056073677029732,0.819672131147541,0.3870967741935484,0.8019246190858059,0.4148936170212766,0.6498895220870514,0.36298607855126447,1000,247,220,156,0.6796056685150955,0.6131652135337576,0.5969442725167916,0.8271827182718272,0.359375,0.7369687249398557,0.48936170212765956,0.6498895220870514,0.36298607855126447,919,328,192,184
tiny__h32x8__drop0p25__l20p01__lr0p0005,32x8,0.25,0.01,0.0005,62129,0.5266681611537933,22.855865601450205,0.6820702402957486,0.6138402378474296,0.5983459373597155,0.8272157564905999,0.3616600790513834,0.7409783480352847,0.4867021276595745,0.6487975396270198,0.3451104996749448,924,323,193,183,0.6543438077634011,0.6097293077854937,0.5843539567044786,0.8291746641074856,0.3407917383820998,0.6928628708901363,0.526595744680851,0.6487975396270198,0.3451104996749448,864,383,178,198
tiny__h32x8__drop0p25__l20p0001__lr0p0005,32x8,0.25,0.0001,0.0005,62129,0.5783431529998779,10.554233299568295,0.7122612446087492,0.5963343940350458,0.5962447842005424,0.8130016051364366,0.3793103448275862,0.8123496391339214,0.3803191489361702,0.6340451125253801,0.35185519667318765,1013,234,233,143,0.6309303758471966,0.6019233394188606,0.5697541805242998,0.8279352226720648,0.32440944881889766,0.6559743384121892,0.5478723404255319,0.6340451125253801,0.35185519667318765,818,429,170,206
compact__h64x16__drop0p3__l20p0001__lr0p0005,64x16,0.3,0.0001,0.0005,124769,0.6106084883213043,14.278051799163222,0.7288971041281578,0.5904415277517104,0.5950874328094169,0.8082505729564553,0.3980891719745223,0.8484362469927826,0.3324468085106383,0.6511371973587674,0.3389349135371472,1058,189,251,125,0.640788662969809,0.6129828609940453,0.5798743897646973,0.8340040241448692,0.3354531001589825,0.6647955092221332,0.5611702127659575,0.6511371973587674,0.3389349135371472,829,418,165,211
tiny__h32x8__drop0p25__l20p001__lr0p0005,32x8,0.25,0.001,0.0005,62129,0.5909020304679871,10.62999939918518,0.7196549599507086,0.5890712177310652,0.5919327610358823,0.8084112149532711,0.3834808259587021,0.8323977546110666,0.34574468085106386,0.6278749850705523,0.3465748468577411,1038,209,246,130,0.6229205175600739,0.5994973041683018,0.5648259787599453,0.8276573787409701,0.3195718654434251,0.6431435445068163,0.5558510638297872,0.6278749850705523,0.3465748468577411,802,445,167,209
compact__h64x16__drop0p3__l20p001__lr0p0005,64x16,0.3,0.001,0.0005,124769,0.5635227560997009,14.401736000552773,0.6937769562538509,0.5898784742957566,0.5860341947453099,0.8114617940199336,0.3556085918854415,0.7834803528468324,0.3962765957446808,0.6370054087256224,0.3218055274511928,977,270,227,149,0.6451016635859519,0.6027860482178504,0.5765549979164024,0.826044703595724,0.33164983164983164,0.681635926222935,0.523936170212766,0.6370054087256224,0.3218055274511928,850,397,179,197
