split,experiment,candidate_key,pooling_key,threshold_policy,threshold,parameter_count,model_size_kb_float32_keras,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
train_oof,wavelet_scattering_recording_mlp,compact__h64x16__drop0p3__l20p01__lr0p0005,mean_std_max,fixed_0p5,0.5,124769,1584.9638671875,0.6796056685150955,0.6131652135337576,0.5969442725167916,0.8271827182718272,0.359375,0.7369687249398557,0.48936170212765956,0.6498895220870514,0.36298607855126447,919,328,192,184
train_oof,wavelet_scattering_recording_mlp,compact__h64x16__drop0p3__l20p01__lr0p0005,mean_std_max,oof_tuned,0.5621482133865356,124769,1584.9638671875,0.7122612446087492,0.6084091180535413,0.6056073677029732,0.819672131147541,0.3870967741935484,0.8019246190858059,0.4148936170212766,0.6498895220870514,0.36298607855126447,1000,247,220,156
validation,wavelet_scattering_recording_mlp,compact__h64x16__drop0p3__l20p01__lr0p0005,mean_std_max,fixed_0p5,0.5,124769,1584.9638671875,0.667621776504298,0.611295374976967,0.5910707070707071,0.8275862068965517,0.3504273504273504,0.7164179104477612,0.5061728395061729,0.6453381241938456,0.3632939391152664,192,76,40,41
validation,wavelet_scattering_recording_mlp,compact__h64x16__drop0p3__l20p01__lr0p0005,mean_std_max,oof_tuned_frozen,0.5621482133865356,124769,1584.9638671875,0.6962750716332379,0.6084162520729685,0.600324114088159,0.8214285714285714,0.3711340206185567,0.7723880597014925,0.4444444444444444,0.6453381241938456,0.3632939391152664,207,61,45,36
