candidate,fold,n_original_train,n_augmented_train,n_effective_train,n_original_validation,n_augmented_validation,n_new_fsd50k_cough_validation,recall_new_fsd50k_cough,fit_seconds,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct
lr__C0p3__l1__weight_none,0,6265,3394,9659,1453,0,21,0.47619047619047616,0.1693604999454692,1453,1035,418,0.9476944253269098,0.9533018976954903,0.8669527896995708,0.9665071770334929,0.9400966183574879,0.9140271493212669,0.9382203006744811,0.9893858493400827,973,62,14,404
lr__C0p3__l1__weight_none,1,6161,3378,9539,1557,0,27,0.5555555555555556,0.16501799994148314,1557,1131,426,0.9210019267822736,0.9346490081069975,0.791907514450867,0.9647887323943662,0.9045092838196287,0.8698412698412699,0.9065665546993348,0.9838918568884572,1023,108,15,411
lr__C0p3__l1__weight_none,2,6237,3384,9621,1481,0,25,0.68,0.16761240002233535,1481,1058,423,0.9318028359216746,0.9430456680386294,0.8232931726907631,0.9692671394799054,0.9168241965973535,0.8903365906623235,0.9204255221807454,0.9866714037369227,970,88,13,410
lr__C0p3__l1__weight_none,3,6025,3380,9405,1693,0,28,0.5357142857142857,0.24020560004282743,1693,1268,425,0.9474305965741288,0.9508266839858972,0.8514644351464435,0.9576470588235294,0.944006309148265,0.9014396456256921,0.932797954105637,0.9863221376878828,1197,71,18,407
lr__C0p3__l1__weight_none,4,6184,3384,9568,1534,0,31,0.45161290322580644,0.1866440000012517,1534,1111,423,0.9269882659713168,0.9364191738322769,0.811623246492986,0.9574468085106383,0.9153915391539154,0.8785249457700651,0.9131674123072133,0.9819322357767691,1017,94,18,405
