candidate,fold,n_train,n_validation,n_new_fsd50k_cough_validation,recall_new_fsd50k_cough,fit_seconds,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct
lr__C0p3__l1__weight_none,0,6006,1919,39,0.1794871794871795,0.17079570004716516,1919,1466,453,0.9614382490880667,0.9434910209035413,0.9258426966292135,0.9094922737306843,0.9774897680763983,0.9175946547884187,0.9462122933806039,0.978716996587853,1433,33,41,412
lr__C0p3__l1__weight_none,1,6512,1413,28,0.5,0.1267036999342963,1413,964,449,0.9631988676574664,0.9605358611575747,0.9324618736383442,0.9532293986636972,0.9678423236514523,0.9427312775330396,0.9578098514881048,0.9917197275642506,933,31,21,428
lr__C0p3__l1__weight_none,2,6500,1425,36,0.5,0.12744609999936074,1425,973,452,0.9677192982456141,0.961553765836888,0.953125,0.9446902654867256,0.9784172661870504,0.9488888888888889,0.9626495726495726,0.9925624607772694,952,21,25,427
lr__C0p3__l1__weight_none,3,6459,1466,28,0.6071428571428571,0.13725669996347278,1466,1022,444,0.9590723055934516,0.9553604485111334,0.9210526315789473,0.9459459459459459,0.9647749510763209,0.9333333333333333,0.9519028871391076,0.9904819202764408,986,36,24,420
lr__C0p3__l1__weight_none,4,6223,1702,27,0.4444444444444444,0.12999260006472468,1702,1257,445,0.9706227967097533,0.9605141544429845,0.9478458049886621,0.9393258426966292,0.9817024661893397,0.9435665914221218,0.9618547810168592,0.9898331143350049,1234,23,27,418
