dataset,dataset_origin,threshold,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct
train_oof_coughvid,COUGHVID,0.5,2137,52,2085,0.9630322882545624,0.6904122855561705,0.9850096711798839,0.9769784172661871,0.40384615384615385,0.9809776065494823,0.6640425222830056,0.8997601918465228,21,31,48,2037
train_oof_fsd50k,FSD50K,0.5,5788,5630,158,0.9649274360746372,0.7051543494390359,0.3756906077348066,0.43037974683544306,0.9799289520426288,0.40117994100294985,0.6915573105388515,0.8835982642714213,5517,113,90,68
