fold,n_train,n_validation,fit_seconds,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct
0,6117,1519,1.842228099994827,1519,1152,367,0.9861751152073732,0.983458456327581,0.9650537634408602,0.9782016348773842,0.9887152777777778,0.9715832205683356,0.9812244071523714,0.9981006849833486,1139,13,8,359
1,6110,1526,1.794298399996478,1526,1159,367,0.9842726081258192,0.9775433581049152,0.9698630136986301,0.9645776566757494,0.9905090595340811,0.9672131147540983,0.9784341435839456,0.9979946068324427,1148,11,13,354
2,6102,1534,1.7983977000112645,1534,1168,366,0.9752281616688396,0.9649721161763605,0.9505494505494505,0.9453551912568307,0.9845890410958904,0.947945205479452,0.9658459988047389,0.9960934575941314,1150,18,20,346
3,6108,1528,1.8772483000066131,1528,1163,365,0.981675392670157,0.9682234184148224,0.98005698005698,0.9424657534246575,0.9939810834049871,0.9608938547486033,0.9744640213913958,0.9977031531584589,1156,7,21,344
4,6107,1529,1.8628201000101399,1529,1164,365,0.9784172661870504,0.9651379277879772,0.9689265536723164,0.9397260273972603,0.9905498281786942,0.9541029207232267,0.9699971636536184,0.9982794332250623,1153,11,22,343
