dataset,experiment,pooling_key,model_family,candidate_key,C,pca_components,output_dimension,score_type,model_size_kb_joblib,learned_inference_float_count,estimated_float32_parameters_kb,threshold_policy,threshold,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
train_oof,wavelet_scattering_recording_linear,mean_std_max,linear_svm,linear_svm__C0.01__pca64,0.01,64,64,wet_decision_score,,0,0.0,fixed_native,0.0,0.6715958102279729,0.623742727226194,0.5996552178953483,0.8355263157894737,0.3595706618962433,0.7129109863672815,0.5345744680851063,0.6714284495555289,0.37163865129236606,889,358,175,201
train_oof,wavelet_scattering_recording_linear,mean_std_max,linear_svm,linear_svm__C0.01__pca64,0.01,64,64,wet_decision_score,,0,0.0,oof_tuned_frozen,0.2116273399445947,0.7455329636475663,0.6059116347318672,0.6129084232246053,0.8144796380090498,0.4377104377104377,0.8660785886126704,0.34574468085106386,0.6714284495555289,0.37163865129236606,1080,167,246,130
