candidate,representation_key,pca_components,c_value,penalty,class_weight,input_dimension,output_dimension,threshold,elapsed_seconds,max_iterations,selected,oof_tuned__n_samples,oof_tuned__n_no_cough,oof_tuned__n_cough,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__precision_cough,oof_tuned__recall_cough,oof_tuned__specificity_no_cough,oof_tuned__f1_cough,oof_tuned__macro_f1,oof_tuned__roc_auc,oof_tuned__tn_no_cough_correct,oof_tuned__fp_no_cough_as_cough,oof_tuned__fn_cough_as_no_cough,oof_tuned__tp_cough_correct,oof_0p5__n_samples,oof_0p5__n_no_cough,oof_0p5__n_cough,oof_0p5__accuracy,oof_0p5__balanced_accuracy,oof_0p5__precision_cough,oof_0p5__recall_cough,oof_0p5__specificity_no_cough,oof_0p5__f1_cough,oof_0p5__macro_f1,oof_0p5__roc_auc,oof_0p5__tn_no_cough_correct,oof_0p5__fp_no_cough_as_cough,oof_0p5__fn_cough_as_no_cough,oof_0p5__tp_cough_correct,oof_tuned__original_cough_count,oof_tuned__original_cough_recall,oof_tuned__new_fsd50k_cough_count,oof_tuned__new_fsd50k_cough_recall
s0_s1__raw__noamp__pcanone__C0p01__l2__weight_none,s0_s1__raw__noamp,,0.01,l2,,285,285,0.46,2.5915297000319697,7,False,7341,5237,2104,0.8794442174090723,0.8614811907958217,0.7734410049349484,0.8193916349809885,0.903570746610655,0.7957535195015001,0.8551190053783468,0.9144386861255572,4732,505,380,1724,7341,5237,2104,0.8764473504972075,0.8460169523520491,0.7901114881240912,0.7747148288973384,0.9173190758067596,0.7823374130069595,0.8480398429751868,0.9144386861255572,4804,433,474,1630,1983,0.8628340897629854,121,0.10743801652892562
s0_s1__raw__peak_rms__pcanone__C0p01__l2__weight_none,s0_s1__raw__peak_rms,,0.01,l2,,291,291,0.42,2.4209654000005685,7,False,7341,5237,2104,0.8974254188802615,0.8911439951616569,0.789045785194694,0.876425855513308,0.9058621348100058,0.8304435937851835,0.8784578090007843,0.9344994957639087,4744,493,260,1844,7341,5237,2104,0.896608091540662,0.875359163846599,0.8158759981211836,0.8255703422053232,0.9251479854878747,0.820694542877392,0.8740280064372604,0.9344994957639087,4845,392,367,1737,1983,0.9228441754916793,121,0.11570247933884298
s0_s1__raw__peak_rms_crest__pcanone__C0p01__l2__weight_none,s0_s1__raw__peak_rms_crest,,0.01,l2,,294,294,0.45,2.330065399990417,7,False,7341,5237,2104,0.9008309494619262,0.8868489582387966,0.8101893597835889,0.8540874524714829,0.9196104640061104,0.8315594632114761,0.8806445964706029,0.9373217113388141,4816,421,307,1797,7341,5237,2104,0.900558507015393,0.8789809330509515,0.8252840909090909,0.8284220532319392,0.9295398128699637,0.8268500948766604,0.8785502146464326,0.9373217113388141,4868,369,361,1743,1983,0.9001512859304085,121,0.09917355371900827
s0_s1__log__noamp__pcanone__C0p01__l2__weight_none,s0_s1__log__noamp,,0.01,l2,,285,285,0.44,2.0929812000249512,6,False,7341,5237,2104,0.8915679062797984,0.8871807593817318,0.77455919395466,0.8769011406844106,0.8974603780790529,0.8225590726705305,0.872244620682068,0.9418824342151596,4700,537,259,1845,7341,5237,2104,0.8929301185124643,0.8763355540534555,0.7987307343608341,0.8374524714828897,0.9152186366240214,0.8176334106728538,0.8709262309823969,0.9418824342151596,4793,444,342,1762,1983,0.9183055975794251,121,0.19834710743801653
s0_s1__log__peak_rms__pcanone__C0p01__l2__weight_none,s0_s1__log__peak_rms,,0.01,l2,,291,291,0.52,2.1307799000060186,6,False,7341,5237,2104,0.9207192480588475,0.9078966403137663,0.8503683241252302,0.877851711026616,0.9379415696009166,0.8638914873713751,0.9039811078986416,0.957696352583366,4912,325,257,1847,7341,5237,2104,0.919901920719248,0.9098828186543395,0.8423667570009034,0.8864068441064639,0.933358793202215,0.8638258452987494,0.9035454969450134,0.957696352583366,4888,349,239,1865,1983,0.9208270297528997,121,0.17355371900826447
s0_s1__log__peak_rms_crest__pcanone__C0p01__l2__weight_none,s0_s1__log__peak_rms_crest,,0.01,l2,,294,294,0.51,2.3164845000137575,6,False,7341,5237,2104,0.9283476365617763,0.9160865743238191,0.8659554730983302,0.8873574144486692,0.9448157341989689,0.8765258215962441,0.9130278311588973,0.9638246906517026,4948,289,237,1867,7341,5237,2104,0.92780275166871,0.9169841889857994,0.8613406795224977,0.8916349809885932,0.9423333969830056,0.8762260625875758,0.9126322620630187,0.9638246906517026,4935,302,228,1876,1983,0.929904185577408,121,0.19008264462809918
