candidate,representation_key,pca_components,c_value,penalty,class_weight,input_dimension,output_dimension,threshold,elapsed_seconds,max_iterations,selected,oof_tuned__n_samples,oof_tuned__n_no_cough,oof_tuned__n_cough,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__precision_cough,oof_tuned__recall_cough,oof_tuned__specificity_no_cough,oof_tuned__f1_cough,oof_tuned__macro_f1,oof_tuned__roc_auc,oof_tuned__tn_no_cough_correct,oof_tuned__fp_no_cough_as_cough,oof_tuned__fn_cough_as_no_cough,oof_tuned__tp_cough_correct,oof_0p5__n_samples,oof_0p5__n_no_cough,oof_0p5__n_cough,oof_0p5__accuracy,oof_0p5__balanced_accuracy,oof_0p5__precision_cough,oof_0p5__recall_cough,oof_0p5__specificity_no_cough,oof_0p5__f1_cough,oof_0p5__macro_f1,oof_0p5__roc_auc,oof_0p5__tn_no_cough_correct,oof_0p5__fp_no_cough_as_cough,oof_0p5__fn_cough_as_no_cough,oof_0p5__tp_cough_correct,oof_tuned__original_cough_count,oof_tuned__original_cough_recall,oof_tuned__new_fsd50k_cough_count,oof_tuned__new_fsd50k_cough_recall
s0_s1__log__peak_rms_crest__pca64__C0p1__l2__weight_none,s0_s1__log__peak_rms_crest,64.0,0.1,l2,,294,64,0.51,1.2904576000291854,8,False,7341,5237,2104,0.92780275166871,0.910160121278037,0.878001921229587,0.8688212927756654,0.9514989497804086,0.8733874820831342,0.9114460276269329,0.9626213669771465,4983,254,276,1828,7341,5237,2104,0.9267129818825773,0.9105336698295472,0.8717948717948718,0.8726235741444867,0.9484437655146076,0.872209026128266,0.9104169653177617,0.9626213669771465,4967,270,268,1836,1983,0.9127584467977812,121,0.1487603305785124
s0_s1__log__peak_rms_crest__pca64__C0p1__l2__weight_balanced,s0_s1__log__peak_rms_crest,64.0,0.1,l2,balanced,294,64,0.67,1.1198236999916844,8,False,7341,5237,2104,0.9242609998637787,0.9116584902249351,0.8576709796672828,0.8821292775665399,0.9411877028833302,0.8697282099343955,0.9081692710897251,0.9616308643310866,4929,308,248,1856,7341,5237,2104,0.9102302138673205,0.9141932385897072,0.7959852519459238,0.9234790874524715,0.904907389726943,0.855005500550055,0.8949980644705489,0.9616308643310866,4739,498,161,1943,1983,0.9248613212304589,121,0.18181818181818182
s0_s1__log__peak_rms_crest__pca128__C0p001__l2__weight_none,s0_s1__log__peak_rms_crest,128.0,0.001,l2,,294,128,0.56,1.2405272999894805,5,False,7341,5237,2104,0.9057349134995232,0.9005221420994662,0.8035253654342218,0.8883079847908745,0.912736299408058,0.8437923250564334,0.8881466502379318,0.9483399415245863,4780,457,235,1869,7341,5237,2104,0.8948372156381964,0.9042576276145676,0.7595479345284489,0.9263307984790875,0.8821844567500478,0.8346895074946467,0.8787910182299442,0.9483399415245863,4620,617,155,1949,1983,0.9314170448814927,121,0.18181818181818182
s0_s1__log__peak_rms_crest__pca128__C0p001__l2__weight_balanced,s0_s1__log__peak_rms_crest,128.0,0.001,l2,balanced,294,128,0.7,1.2429074000101537,6,False,7341,5237,2104,0.9038278163737911,0.8925035993526611,0.811219946571683,0.8659695817490495,0.9190376169562727,0.8377011494252874,0.8846848759127985,0.9484887801116797,4813,424,282,1822,7341,5237,2104,0.8487944421740907,0.8790956476692966,0.6654460719041279,0.9500950570342205,0.8080962383043727,0.7826938136256852,0.8333774060816957,0.9484887801116797,4232,1005,105,1999,1983,0.9087241553202219,121,0.1652892561983471
s0_s1__log__peak_rms_crest__pca128__C0p01__l2__weight_none,s0_s1__log__peak_rms_crest,128.0,0.01,l2,,294,128,0.51,1.4767304999986663,6,False,7341,5237,2104,0.9286200790083095,0.9167040275721667,0.8657407407407407,0.8887832699619772,0.9446247851823563,0.8771106941838649,0.9134065661358948,0.9637726879014556,4947,290,234,1870,7341,5237,2104,0.9282114153385097,0.9174127805879633,0.8621956821313734,0.8921102661596958,0.9427152950162306,0.8768979210464845,0.913114858033097,0.9637726879014556,4937,300,227,1877,1983,0.9309127584467978,121,0.19834710743801653
s0_s1__log__peak_rms_crest__pca128__C0p01__l2__weight_balanced,s0_s1__log__peak_rms_crest,128.0,0.01,l2,balanced,294,128,0.67,1.5026184000307694,7,False,7341,5237,2104,0.9286200790083095,0.9171305318039019,0.8647276084949215,0.8902091254752852,0.9440519381325186,0.8772833723653396,0.9134784130363003,0.9632281564852603,4944,293,231,1873,7341,5237,2104,0.9031467102574581,0.9123562618571717,0.7745368545526212,0.93393536121673,0.8907771624976132,0.8468002585649644,0.8879952891271192,0.9632281564852603,4665,572,139,1965,1983,0.9324256177508825,121,0.19834710743801653
s0_s1__log__peak_rms_crest__pca128__C0p1__l2__weight_none,s0_s1__log__peak_rms_crest,128.0,0.1,l2,,294,128,0.52,1.844214400043711,7,True,7341,5237,2104,0.931072061027108,0.9141575264043285,0.8837656099903939,0.8745247148288974,0.9537903379797594,0.8791208791208791,0.9154560188287322,0.9663177369855176,4995,242,264,1840,7341,5237,2104,0.9301185124642419,0.9147687175413899,0.8775510204081632,0.8788022813688213,0.9507351537139583,0.8781762051769176,0.9145918749120192,0.9663177369855176,4979,258,255,1849,1983,0.9178013111447302,121,0.1652892561983471
s0_s1__log__peak_rms_crest__pca128__C0p1__l2__weight_balanced,s0_s1__log__peak_rms_crest,128.0,0.1,l2,balanced,294,128,0.73,1.9891090000164695,9,False,7341,5237,2104,0.9299822912409753,0.9096973603295069,0.8900883218842002,0.8621673003802282,0.9572274202787856,0.8759053597295993,0.9135693781570198,0.9655882463982878,5013,224,290,1814,7341,5237,2104,0.9162239476910503,0.9185362850324287,0.8103376406836181,0.9239543726235742,0.9131181974412832,0.8634243837441705,0.9015029375249,0.9655882463982878,4782,455,160,1944,1983,0.9067070095814422,121,0.1322314049586777
s0_s1__log__peak_rms__pcanone__C0p001__l2__weight_none,s0_s1__log__peak_rms,,0.001,l2,,291,291,0.57,1.74459710001247,5,False,7341,5237,2104,0.898923852336194,0.8924785509075162,0.792274678111588,0.8773764258555133,0.9075806759595189,0.8326567433468651,0.8801261858810828,0.9431792357828294,4753,484,258,1846,7341,5237,2104,0.8891159242609998,0.897830840952538,0.7505827505827506,0.9182509505703422,0.8774107313347336,0.8259940145361265,0.8723132807586671,0.9431792357828294,4595,642,172,1932,1983,0.9203227433182047,121,0.17355371900826447
s0_s1__log__peak_rms__pcanone__C0p001__l2__weight_balanced,s0_s1__log__peak_rms,,0.001,l2,balanced,291,291,0.67,1.8242783999885432,6,False,7341,5237,2104,0.8959269854243291,0.8920841286517185,0.781986531986532,0.8830798479087453,0.9010884093946916,0.8294642857142858,0.8772885043548884,0.942721920148461,4719,518,246,1858,7341,5237,2104,0.8441629205830269,0.875565178232393,0.6582069874752802,0.9491444866920152,0.8019858697727706,0.7773452705332814,0.8287396931040254,0.942721920148461,4200,1037,107,1997,1983,0.9263741805345436,121,0.17355371900826447
