fold,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct,original_cough_count,original_cough_recall,new_fsd50k_cough_count,new_fsd50k_cough_recall
0,1369,951,418,0.9408327246165084,0.9279152139022635,0.9099756690997567,0.8947368421052632,0.961093585699264,0.902291917973462,0.9299306630202564,0.9752740756393421,914,37,44,374,397,0.9269521410579346,21,0.2857142857142857
1,1473,1049,424,0.923285811269518,0.9124143389031782,0.8526077097505669,0.8867924528301887,0.9380362249761678,0.869364161849711,0.9075316724673832,0.9695779448531395,984,65,48,376,399,0.9273182957393483,25,0.24
2,1390,971,419,0.9316546762589928,0.9137702194180151,0.900990099009901,0.8687350835322196,0.9588053553038105,0.8845686512758202,0.9180124809777159,0.9650484577816341,931,40,55,364,398,0.9120603015075377,21,0.047619047619047616
3,1634,1214,420,0.9277845777233782,0.9039048403545933,0.8629807692307693,0.8547619047619047,0.9530477759472817,0.8588516746411483,0.9051659688995215,0.9627932062446066,1157,57,61,359,397,0.8967254408060453,23,0.13043478260869565
4,1475,1052,423,0.9328813559322033,0.9133688842146896,0.8951219512195122,0.8676122931442081,0.9591254752851711,0.8811524609843937,0.9171940859480305,0.9603884079856897,1009,43,56,367,392,0.9260204081632653,31,0.12903225806451613
