dataset,threshold,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct
train_oof,0.55,7696,5592,2104,0.9597193347193347,0.9549390220684628,0.9114678899082569,0.9443916349809885,0.9654864091559371,0.9276377217553688,0.9498649537836981,0.985786491565898,5399,193,117,1987
train_fit,0.55,7696,5592,2104,0.9654365904365905,0.9600590468730452,0.9270446096654275,0.9481939163498099,0.9719241773962805,0.9375,0.9568067528735632,0.9922266396318477,5435,157,109,1995
validation,0.55,1699,1243,456,0.9664508534432019,0.9576329197894172,0.936542669584245,0.9385964912280702,0.9766693483507642,0.9375684556407448,0.9573154149431088,0.9929394080535208,1214,29,28,428
