candidate,fold,n_validation,threshold,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct,original_cough_recall,new_fsd50k_cough_recall,fsd50k_balanced_accuracy,fsd50k_specificity_no_cough
lr__C0p1__l2__weight_none__fsdposw4,0,1449,0.55,1449,1031,418,0.9751552795031055,0.9704507167751846,0.9547619047619048,0.9593301435406698,0.9815712900096993,0.9570405727923628,0.9697824223185114,0.9891219097916735,1012,19,17,401,0.9874055415617129,0.42857142857142855,0.7069471624266145,0.9853228962818004
lr__C0p1__l2__weight_none__fsdposw4,1,1554,0.55,1554,1130,424,0.9453024453024453,0.9388128235097679,0.8808988764044944,0.9245283018867925,0.9530973451327434,0.9021864211737629,0.9321115223331968,0.9824344631825012,1077,53,32,392,0.9598997493734336,0.36,0.659427549194991,0.9588550983899821
lr__C0p1__l2__weight_none__fsdposw4,2,1472,0.55,1472,1053,419,0.9599184782608695,0.9561781658042596,0.9147465437788018,0.9474940334128878,0.9648622981956315,0.9308323563892146,0.9513080959373141,0.9863148136815598,1016,37,22,397,0.9623115577889447,0.6666666666666666,0.8180223285486443,0.969377990430622
lr__C0p1__l2__weight_none__fsdposw4,3,1688,0.55,1688,1268,420,0.9644549763033176,0.9580291422562716,0.9147465437788018,0.9452380952380952,0.9708201892744479,0.9297423887587822,0.9529758732057194,0.9873685594111462,1231,37,23,397,0.9672544080604534,0.5652173913043478,0.7714621988368873,0.9777070063694268
lr__C0p1__l2__weight_none__fsdposw4,4,1533,0.55,1533,1110,423,0.954337899543379,0.9516420675995144,0.8948545861297539,0.9456264775413712,0.9576576576576576,0.9195402298850575,0.943832045725771,0.9838711051477008,1063,47,23,400,0.9846938775510204,0.45161290322580644,0.7076246334310851,0.9636363636363636
