split,cough_source,threshold,n_cough_segments,n_cough_recordings,recall_cough,false_negative_rate,mean_probability_cough,median_probability_cough
train_oof,original_cough,0.55,1983,1983,0.9722642460917801,0.02773575390821987,0.9268312736087023,0.9756359419773665
train_oof,new_fsd50k_cough,0.55,121,121,0.48760330578512395,0.512396694214876,0.47286582528501564,0.5356024152587943
