fold,n_train,n_validation,fit_seconds,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct
0,6104,1526,1.7050050012767315,1526,1132,394,0.9836173001310616,0.9782021847141755,0.9694656488549618,0.9670050761421319,0.9893992932862191,0.9682337992376112,0.9785981358218961,0.9978856881490915,1120,12,13,381
1,6104,1526,1.6183209996670485,1526,1132,394,0.973132372214941,0.9620343132858604,0.9560723514211886,0.9390862944162437,0.984982332155477,0.9475032010243278,0.9647247400982493,0.9946480780613801,1115,17,24,370
2,6103,1527,1.8130984995514154,1527,1133,394,0.9777341191879503,0.9684410016084157,0.9639175257731959,0.949238578680203,0.9876434245366285,0.9565217391304348,0.9707784751990203,0.9967047638675455,1119,14,20,374
3,6104,1526,1.7754475995898247,1526,1132,394,0.9836173001310616,0.9773748452942548,0.9718670076726342,0.9644670050761421,0.9902826855123675,0.9681528662420382,0.9785625381055802,0.9979260461695754,1121,11,14,380
4,6105,1525,1.712533300742507,1525,1131,394,0.9849180327868853,0.9799086204652457,0.9720101781170484,0.9695431472081218,0.9902740937223696,0.9707750952986023,0.980305797759774,0.998460551059886,1120,11,12,382
