candidate_key,filters,dense_units,dropout_rate,l2_strength,learning_rate,batch_size,max_epochs,patience,parameter_count,threshold_oof,elapsed_seconds,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
small__f16x32x64__dense32__drop0p3__l20p0005__lr0p0005,16x32x64,32,0.3,0.0005,0.0005,64,60,7,5697,0.5510583445429802,416.9503381997347,0.7091805298829328,0.6175502055998225,0.6111201358035722,0.8253568429890848,0.3888888888888889,0.7882919005613472,0.44680851063829785,0.6838092272517872,0.37696669182243353,983,264,208,168
compact_regularized__f12x24x48__dense24__drop0p25__l20p0003__lr0p0005,12x24x48,24,0.25,0.0003,0.0005,64,60,7,3409,0.4946607400973638,422.34153809957206,0.678373382624769,0.6337262621781637,0.6081668331668332,0.8410159924741298,0.36964285714285716,0.7169206094627105,0.550531914893617,0.6595339452985036,0.35484381423226263,894,353,169,207
tiny__f8x16x32__dense16__drop0p15__l20p0001__lr0p001,8x16x32,16,0.15,0.0001,0.001,64,60,7,1697,0.493989534676075,221.40975530073047,0.7024029574861368,0.6112819703458513,0.6043391469591397,0.8226351351351351,0.37813211845102507,0.781074578989575,0.44148936170212766,0.662059154737327,0.37210458728141915,974,273,210,166
