split,threshold_policy,threshold,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
train_oof,oof_tuned,0.5510583445429802,0.7091805298829328,0.6175502055998225,0.6111201358035722,0.8253568429890848,0.3888888888888889,0.7882919005613472,0.4468085106382978,0.6838092272517872,0.3769666918224335,983,264,208,168
validation,oof_tuned_frozen,0.5510583445429802,0.6991404011461319,0.6404320987654322,0.6215805941943678,0.8410041841004184,0.3909090909090909,0.75,0.5308641975308642,0.6774921687857012,0.3931046476827154,201,67,38,43
test,oof_tuned_frozen,0.5510583445429802,0.7327586206896551,0.6686567164179105,0.6528026605160113,0.854251012145749,0.43564356435643564,0.7873134328358209,0.55,0.7040111940298508,0.386390204604938,211,57,36,44
