fold,selected_coch_model,alpha_wst,weight_coch,threshold,selection_train_rows,held_rows,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
0,mfcc117_recording_lr,0.7,0.30000000000000004,0.5752281579628423,1298,325,0.7230769230769231,0.6318695835975481,0.6269132653061225,0.8298755186721992,0.4166666666666667,0.8032128514056225,0.4605263157894737,0.6695730289579369,0.4022964964930181,200,49,41,35
1,mfcc117_recording_lr,0.7,0.30000000000000004,0.5752281579628423,1298,325,0.7169230769230769,0.6293333333333333,0.6217870876340822,0.8319327731092437,0.40229885057471265,0.792,0.4666666666666667,0.66032,0.37084323039912587,198,52,40,35
2,mfcc117_recording_lr,0.6,0.4,0.5768348168245632,1299,324,0.7160493827160493,0.6195983935742971,0.6149832084732627,0.8257261410788381,0.39759036144578314,0.7991967871485943,0.44,0.6727710843373496,0.34616043823611564,199,50,42,33
3,mfcc117_recording_lr,0.75,0.25,0.5906227570948421,1298,325,0.7230769230769231,0.596,0.5985671936758894,0.8125,0.391304347826087,0.832,0.36,0.7139733333333333,0.4052067601923578,208,42,48,27
4,mfcc117_recording_lr,0.7,0.30000000000000004,0.57654217849987,1299,324,0.7376543209876543,0.6429718875502008,0.639599555061179,0.8360655737704918,0.4375,0.8192771084337349,0.4666666666666667,0.6989558232931727,0.4492313181431089,204,45,40,35
