candidate,fold,n_train,n_validation,fit_seconds,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct,trainable_parameters,deployment_float_values,tree_nodes_total
lr__C0p3__l2__weight_none,0,6117,1519,0.12355550000211224,1519,1152,367,0.9848584595128373,0.9853755108991826,0.9526315789473684,0.9863760217983651,0.984375,0.9692101740294511,0.9795854449370303,0.9984578413563427,1134,18,5,362,118,352,0
lr__C0p3__l2__weight_none,1,6110,1526,0.11661719999392517,1526,1159,367,0.9809960681520314,0.9800412833575878,0.9447368421052632,0.9782016348773842,0.9818809318377912,0.9611780455153949,0.9742983503065044,0.9967391789878054,1138,21,8,359,118,352,0
lr__C0p3__l2__weight_none,2,6102,1534,0.12019289999443572,1534,1168,366,0.9791395045632334,0.9741068755146343,0.9489247311827957,0.9644808743169399,0.9837328767123288,0.9566395663956639,0.9714528304081325,0.995686428624897,1149,19,13,353,118,352,0
lr__C0p3__l2__weight_none,3,6108,1528,0.11135369999101385,1528,1163,365,0.981675392670157,0.9766828820127446,0.9566395663956639,0.9671232876712329,0.9862424763542562,0.9618528610354223,0.9748971454186586,0.9977761811093181,1147,16,12,353,118,352,0
lr__C0p3__l2__weight_none,4,6107,1529,0.11916529999871273,1529,1164,365,0.9836494440810988,0.9789177611448477,0.9619565217391305,0.9698630136986301,0.9879725085910653,0.965893587994543,0.97757044991125,0.9986489667184484,1150,14,11,354,118,352,0
