dataset,threshold,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct,cough_quality
train_oof,0.5,7628,5658,1970,0.9765338227582591,0.9737591802093258,0.9426594167078596,0.968020304568528,0.9794980558501237,0.9551715502128725,0.9696394020264398,0.9965345775174813,5542,116,63,1907,
train_fit,0.5,7628,5658,1970,0.9893812270582066,0.9928419936373276,0.9605070697220868,1.0,0.9856839872746553,0.9798557572743098,0.9863230722286103,0.9992566564928506,5577,81,0,1970,
validation,0.5,1640,1217,423,0.9725609756097561,0.9691729264886138,0.9334862385321101,0.9621749408983451,0.9761709120788825,0.9476135040745053,0.9645130717398549,0.995637064362042,1188,29,16,407,
test,0.5,1642,1219,423,0.976857490864799,0.9736074021065206,0.9445727482678984,0.966903073286052,0.9803117309269893,0.955607476635514,0.9699783676423039,0.997612661620481,1195,24,14,409,
test_good_cough_vs_shared_no_cough,0.5,1443,1219,224,0.9785169785169785,0.9745308654634947,0.9004149377593361,0.96875,0.9803117309269893,0.9333333333333333,0.9602643535729037,0.9976488339388256,1195,24,7,217,good
test_ok_cough_vs_shared_no_cough,0.5,1380,1219,161,0.9789855072463768,0.9746279151529357,0.8666666666666667,0.968944099378882,0.9803117309269893,0.9149560117302052,0.9514837933806048,0.9977733505215047,1195,24,5,156,ok
test_poor_cough_vs_shared_no_cough,0.5,1257,1219,38,0.979315831344471,0.9638400759898105,0.6,0.9473684210526315,0.9803117309269893,0.7346938775510204,0.8619661440735235,0.9967186218211649,1195,24,2,36,poor
