ID,Modelo,Protocolo,Umbral,N,No tos,Tos,Accuracy,Balanced accuracy,Sensibilidad / recall tos,Especificidad / recall no tos,Precisión tos,F1 tos,Macro-F1,ROC-AUC,Average precision,TN,FP,FN,TP,Fuente
EXT-01,Sin augmentation,Validación piloto externa; mismas 58 muestras; sin ajuste de modelo ni umbral,0.5,58,19,39,0.7241379310344828,0.7678812415654521,0.6410256410256411,0.8947368421052632,0.925925925925926,0.7575757575757576,0.7187878787878788,0.8771929824561404,0.9454144627643296,17,2,14,25,results_external_validation\stage1_mfcc117_lr_fsd50k_cough_segments\external_validation_metrics.csv
EXT-02,Pitch + ruido,Validación piloto externa; mismas 58 muestras; sin ajuste de modelo ni umbral,0.5,58,19,39,0.7586206896551724,0.6855600539811066,0.8974358974358975,0.4736842105263157,0.7777777777777778,0.8333333333333334,0.6979166666666667,0.8272604588394062,0.9162084796763812,9,10,4,35,results_external_validation\stage1_mfcc117_lr_fsd50k_cough_segments_audio_aug\external_validation_metrics.csv
EXT-03,Solo ruido,Validación piloto externa; mismas 58 muestras; sin ajuste de modelo ni umbral,0.5,58,19,39,0.7758620689655172,0.7253711201079622,0.8717948717948718,0.5789473684210527,0.8095238095238095,0.8395061728395061,0.7340388007054673,0.8272604588394062,0.9168399484909202,11,8,5,34,results_external_validation\stage1_mfcc117_lr_fsd50k_cough_segments_noise_aug\external_validation_metrics.csv
