candidate_key,representation_key,C,penalty,pca_components,pca_whiten,gold_multiplier,wet_cost,threshold_oof_constrained,minimum_wet_recall_oof,elapsed_fit_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,native__accuracy,native__balanced_accuracy,native__macro_f1,native__dry_precision,native__wet_precision,native__dry_recall,native__wet_recall,native__roc_auc,native__average_precision_wet,native__tn_dry_correct,native__fp_dry_as_wet,native__fn_wet_as_dry,native__tp_wet_correct
logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1,logistic_regression__C0.001__pca128__no_whiten,0.001,l2,128,False,1.0,1.0,0.5451205759080889,0.550531914893617,0.08902189999844268,0.7011706715958103,0.6485618676312511,0.6269324482583261,0.8463636363636363,0.39579349904397704,0.7465918203688853,0.550531914893617,0.6833378832602501,0.379408099517243,931,316,169,207,0.6383240911891559,0.6345996348683649,0.5886496435931612,0.851063829787234,0.34553440702781846,0.6415396952686447,0.6276595744680851,0.6833378832602501,0.379408099517243,800,447,140,236
logistic_regression__C0.001__pca256__no_whiten__gold1__wetcost1,logistic_regression__C0.001__pca256__no_whiten,0.001,l2,256,False,1.0,1.0,0.5320668628950002,0.550531914893617,0.1894138000006933,0.6845348120764018,0.6405223600470917,0.6146909463204009,0.8444236176194939,0.3776978417266187,0.7225340817963112,0.5585106382978723,0.6816337934446929,0.37888695029193814,901,346,166,210,0.6389402341343191,0.6322141224044089,0.5879368550939132,0.8489968321013728,0.34467455621301774,0.644747393744988,0.6196808510638298,0.6816337934446929,0.37888695029193814,804,443,143,233
logistic_regression__C0.0001__pca128__no_whiten__gold1__wetcost1,logistic_regression__C0.0001__pca128__no_whiten,0.0001,l2,128,False,1.0,1.0,0.5293058592950831,0.550531914893617,0.05756379999911587,0.6820702402957486,0.6361320360354212,0.6111816814307204,0.8419083255378859,0.37364620938628157,0.7217321571772254,0.550531914893617,0.6780144687675954,0.3713864704592816,900,347,169,207,0.6389402341343191,0.6396447218004061,0.5911283416390669,0.8549946294307197,0.34826589595375723,0.6383319967923016,0.6409574468085106,0.6780144687675954,0.3713864704592816,796,451,135,241
