candidate_key,C,pca_components,pca_whiten,gold_multiplier,wet_cost,dataset,subgroup,recording_count,dry_count,wet_count,threshold,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1,0.001,128,False,1.0,1.0,train_oof,all,1623,1247,376,0.5451205759080889,0.7011706715958103,0.6485618676312511,0.6269324482583261,0.8463636363636363,0.39579349904397704,0.7465918203688853,0.550531914893617,0.6833378832602501,0.379408099517243,931,316,169,207
logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1,0.001,128,False,1.0,1.0,train_oof,weak_all,1561,1191,370,0.5451205759080889,0.6976297245355542,0.6453491274649965,0.6255179171901747,0.8407582938388626,0.39920948616600793,0.744752308984047,0.5459459459459459,0.6793723194226973,0.3797753018977765,887,304,168,202
logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1,0.001,128,False,1.0,1.0,train_oof,gold_all,62,56,6,0.5451205759080889,0.7903225806451613,0.8095238095238095,0.6530348687042618,0.9777777777777777,0.29411764705882354,0.7857142857142857,0.8333333333333334,0.8422619047619048,0.5892242862057103,44,12,1,5
logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1,0.001,128,False,1.0,1.0,train_oof,gold_3_of_4,31,28,3,0.5451205759080889,0.8064516129032258,0.7440476190476191,0.6423076923076922,0.9583333333333334,0.2857142857142857,0.8214285714285714,0.6666666666666666,0.75,0.48120300751879697,23,5,1,2
logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1,0.001,128,False,1.0,1.0,train_oof,gold_4_of_4,31,28,3,0.5451205759080889,0.7741935483870968,0.875,0.6593406593406593,1.0,0.3,0.75,1.0,0.9404761904761905,0.7916666666666666,21,7,0,3
logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1p3,0.001,128,False,1.0,1.3,train_oof,all,1623,1247,376,0.5536526188183823,0.6894639556377079,0.6455877083724342,0.6197338668888162,0.8468720821661998,0.38405797101449274,0.7273456295108259,0.5638297872340425,0.6827769625825385,0.3792881828149037,907,340,164,212
logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1p3,0.001,128,False,1.0,1.3,train_oof,weak_all,1561,1191,370,0.5536526188183823,0.6860986547085202,0.6424501327523997,0.6185224271248115,0.8412852969814996,0.38764044943820225,0.72544080604534,0.5594594594594594,0.6789434270542584,0.3797486192850718,864,327,163,207
logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1p3,0.001,128,False,1.0,1.3,train_oof,gold_all,62,56,6,0.5536526188183823,0.7741935483870968,0.8005952380952381,0.6383333333333333,0.9772727272727273,0.2777777777777778,0.7678571428571429,0.8333333333333334,0.8422619047619048,0.5892242862057103,43,13,1,5
logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1p3,0.001,128,False,1.0,1.3,train_oof,gold_3_of_4,31,28,3,0.5536526188183823,0.8064516129032258,0.7440476190476191,0.6423076923076922,0.9583333333333334,0.2857142857142857,0.8214285714285714,0.6666666666666666,0.75,0.48120300751879697,23,5,1,2
logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1p3,0.001,128,False,1.0,1.3,train_oof,gold_4_of_4,31,28,3,0.5536526188183823,0.7419354838709677,0.8571428571428572,0.6309523809523809,1.0,0.2727272727272727,0.7142857142857143,1.0,0.9404761904761905,0.7916666666666666,20,8,0,3
