candidate_key,representation_key,C,penalty,pca_components,pca_whiten,gold_multiplier,wet_cost,threshold_oof_constrained,minimum_wet_recall_oof,elapsed_fit_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,native__accuracy,native__balanced_accuracy,native__macro_f1,native__dry_precision,native__wet_precision,native__dry_recall,native__wet_recall,native__roc_auc,native__average_precision_wet,native__tn_dry_correct,native__fp_dry_as_wet,native__fn_wet_as_dry,native__tp_wet_correct
logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1,logistic_regression__C0.001__pca64__no_whiten,0.001,l2,64,False,1.0,1.0,0.537177097720746,0.550531914893617,0.058523400002741255,0.6993222427603204,0.6473589807026224,0.6253944590330173,0.845943482224248,0.3935361216730038,0.7441860465116279,0.550531914893617,0.6813821256121073,0.38041776885899325,928,319,169,207,0.6549599507085644,0.6454256172260233,0.6022142391966555,0.8552223371251293,0.3597560975609756,0.6631916599839615,0.6276595744680851,0.6813821256121073,0.38041776885899325,827,420,140,236
logistic_regression__C0.0003__pca64__no_whiten__gold1__wetcost1,logistic_regression__C0.0003__pca64__no_whiten,0.0003,l2,64,False,1.0,1.0,0.5196398153491266,0.550531914893617,0.04937900000004447,0.680837954405422,0.6529777849818288,0.6191935571539869,0.8542274052478134,0.38047138047138046,0.7048917401764234,0.601063829787234,0.6812456278046035,0.3805328184738049,879,368,150,226,0.6512630930375847,0.6495216178402634,0.6020004436572609,0.8595564941921858,0.3594674556213018,0.652766639935846,0.6462765957446809,0.6812456278046035,0.3805328184738049,814,433,133,243
logistic_regression__C0.0003__pca384__no_whiten__gold1__wetcost1,logistic_regression__C0.0003__pca384__no_whiten,0.0003,l2,384,False,1.0,1.0,0.5347821651498739,0.550531914893617,0.22123719999945024,0.6913123844731978,0.6421464706785647,0.6187649007321139,0.8440959409594095,0.38404452690166974,0.7337610264635124,0.550531914893617,0.6844426623897354,0.37906194771154084,915,332,169,207,0.6432532347504621,0.6405938081182071,0.593859466767051,0.8545647558386412,0.3509544787077827,0.6455493183640738,0.6356382978723404,0.6844426623897354,0.37906194771154084,805,442,137,239
logistic_regression__C0.001__pca128__no_whiten__gold1__wetcost1,logistic_regression__C0.001__pca128__no_whiten,0.001,l2,128,False,1.0,1.0,0.5326604110699953,0.550531914893617,0.09099209999840241,0.6869993838570548,0.645841508983262,0.6186757686757687,0.8476011288805269,0.3821428571428571,0.7225340817963112,0.5691489361702128,0.6830670204234843,0.381404328880849,901,346,162,214,0.6463339494762785,0.6398121448924227,0.5951668694594126,0.8530954879328436,0.3522388059701492,0.6519647153167603,0.6276595744680851,0.6830670204234843,0.381404328880849,813,434,140,236
logistic_regression__C0.0003__pca128__no_whiten__gold1__wetcost1,logistic_regression__C0.0003__pca128__no_whiten,0.0003,l2,128,False,1.0,1.0,0.5287801324601633,0.550531914893617,0.07770560000244586,0.6863832409118915,0.6463693715982186,0.6186505578936727,0.8481132075471698,0.38188277087033745,0.7209302325581395,0.5718085106382979,0.6846068863143886,0.38017446866304183,899,348,161,215,0.6481823783117683,0.6465879813680493,0.5990780898159425,0.8580508474576272,0.35640648011782033,0.6495589414595028,0.6436170212765957,0.6846068863143886,0.38017446866304183,810,437,134,242
logistic_regression__C0.0003__pca512__no_whiten__gold1__wetcost1,logistic_regression__C0.0003__pca512__no_whiten,0.0003,l2,512,False,1.0,1.0,0.5349482932753651,0.550531914893617,0.332148600004075,0.6894639556377079,0.640943583749936,0.617242773398019,0.8436632747456059,0.38191881918819187,0.731355252606255,0.550531914893617,0.6845279735194253,0.37905585270868203,912,335,169,207,0.6444855206407887,0.6423245576617926,0.5952623701633653,0.8556263269639066,0.3524229074889868,0.6463512429831596,0.6382978723404256,0.6845279735194253,0.37905585270868203,806,441,136,240
logistic_regression__C0.0003__pca192__no_whiten__gold1__wetcost1,logistic_regression__C0.0003__pca192__no_whiten,0.0003,l2,192,False,1.0,1.0,0.5333697879919133,0.550531914893617,0.11774909999985539,0.6876155268022182,0.6425271715948062,0.617222857190704,0.8451492537313433,0.3811252268602541,0.7265437048917401,0.5585106382978723,0.683542629971506,0.3790789090778658,906,341,166,210,0.6457178065311152,0.6459129570543773,0.5974502703507119,0.8582089552238806,0.35474452554744523,0.6455493183640738,0.6462765957446809,0.683542629971506,0.3790789090778658,805,442,133,243
logistic_regression__C0.0003__pca256__no_whiten__gold1__wetcost1,logistic_regression__C0.0003__pca256__no_whiten,0.0003,l2,256,False,1.0,1.0,0.5174035400561423,0.550531914893617,0.13277879999986908,0.6759088108441158,0.6525565612789845,0.6164547885531906,0.8551724137931035,0.37664473684210525,0.6960705693664796,0.6090425531914894,0.6843552184818031,0.37943870796702034,868,379,147,229,0.6438693776956254,0.6419235953522497,0.5947590051250505,0.8554729011689692,0.3519061583577713,0.6455493183640738,0.6382978723404256,0.6843552184818031,0.37943870796702034,805,442,136,240
logistic_regression__C0.001__pca256__no_whiten__gold1__wetcost1,logistic_regression__C0.001__pca256__no_whiten,0.001,l2,256,False,1.0,1.0,0.5365168723869262,0.550531914893617,0.176784499997666,0.6876155268022182,0.6397406968213073,0.6157234422612168,0.8432282003710575,0.3798165137614679,0.7289494787489976,0.550531914893617,0.6808276032691225,0.3786756473774217,909,338,169,207,0.640788662969809,0.6315593594840383,0.5886128314880795,0.8480083857442348,0.3452914798206278,0.648757016840417,0.6143617021276596,0.6808276032691225,0.3786756473774217,809,438,145,231
logistic_regression__C0.0001__pca192__no_whiten__gold1__wetcost1,logistic_regression__C0.0001__pca192__no_whiten,0.0001,l2,192,False,1.0,1.0,0.5277941265070722,0.550531914893617,0.08457950000047276,0.6876155268022182,0.6397406968213073,0.6157234422612168,0.8432282003710575,0.3798165137614679,0.7289494787489976,0.550531914893617,0.6783066593867836,0.3726278119641333,909,338,169,207,0.6463339494762785,0.644456269514921,0.5971694686591946,0.8568398727465536,0.35441176470588237,0.6479550922213312,0.6409574468085106,0.6783066593867836,0.3726278119641333,808,439,135,241
