dataset,candidate_key,threshold,model_size_kb_joblib,accuracy,balanced_accuracy,macro_f1,dry_precision,wet_precision,dry_recall,wet_recall,roc_auc,average_precision_wet,tn_dry_correct,fp_dry_as_wet,fn_wet_as_dry,tp_wet_correct
train_oof_original_only,logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1p15,0.5491775672741122,510.45703125,0.7017868145409735,0.6489628299407941,0.6274458099202088,0.846503178928247,0.39655172413793105,0.7473937449879712,0.550531914893617,0.681584739545121,0.3800870503012491,932,315,169,207
validation_original_only,logistic_regression__C0.001__pca64__no_whiten__gold1__wetcost1p15,0.5491775672741122,510.45703125,0.6475644699140402,0.6154643449419569,0.5844634819224626,0.8341013824884793,0.3409090909090909,0.6753731343283582,0.5555555555555556,0.655979362447024,0.34268283962926493,181,87,36,45
