fold,pca_components,pca_whiten,cumulative_explained_variance_ratio,cumulative_explained_variance_percent,original_fit_recordings,augmented_fit_recordings,oof_original_recordings
0,64,False,0.9097003936767578,90.97003936767578,1298,32,325
0,64,True,0.9097003936767578,90.97003936767578,1298,32,325
0,128,False,0.9543423652648926,95.43423652648926,1298,32,325
0,128,True,0.9543423652648926,95.43423652648926,1298,32,325
0,192,False,0.9726257920265198,97.26257920265198,1298,32,325
0,192,True,0.9726257920265198,97.26257920265198,1298,32,325
0,256,False,0.9822112321853638,98.22112321853638,1298,32,325
0,256,True,0.9822112321853638,98.22112321853638,1298,32,325
0,384,False,0.9918065071105957,99.18065071105957,1298,32,325
0,384,True,0.9918065071105957,99.18065071105957,1298,32,325
0,512,False,0.9960704445838928,99.60704445838928,1298,32,325
0,512,True,0.9960704445838928,99.60704445838928,1298,32,325
1,64,False,0.8985125422477722,89.85125422477722,1298,40,325
1,64,True,0.8985125422477722,89.85125422477722,1298,40,325
1,128,False,0.9471613168716431,94.7161316871643,1298,40,325
1,128,True,0.9471613168716431,94.7161316871643,1298,40,325
1,192,False,0.9680235981941223,96.80235981941223,1298,40,325
1,192,True,0.9680235981941223,96.80235981941223,1298,40,325
1,256,False,0.9791625738143921,97.91625738143921,1298,40,325
1,256,True,0.9791625738143921,97.91625738143921,1298,40,325
1,384,False,0.9903379678726196,99.03379678726196,1298,40,325
1,384,True,0.9903379678726196,99.03379678726196,1298,40,325
1,512,False,0.9953500032424927,99.53500032424927,1298,40,325
1,512,True,0.9953500032424927,99.53500032424927,1298,40,325
2,64,False,0.9092918634414673,90.92918634414673,1299,40,324
2,64,True,0.9092918634414673,90.92918634414673,1299,40,324
2,128,False,0.9539855718612671,95.39855718612671,1299,40,324
2,128,True,0.9539855718612671,95.39855718612671,1299,40,324
2,192,False,0.9724959135055542,97.24959135055542,1299,40,324
2,192,True,0.9724959135055542,97.24959135055542,1299,40,324
2,256,False,0.9821584820747375,98.21584820747375,1299,40,324
2,256,True,0.9821584820747375,98.21584820747375,1299,40,324
2,384,False,0.9917346239089966,99.17346239089966,1299,40,324
2,384,True,0.9917346239089966,99.17346239089966,1299,40,324
2,512,False,0.9960219860076904,99.60219860076904,1299,40,324
2,512,True,0.9960219860076904,99.60219860076904,1299,40,324
3,64,False,0.9098339676856995,90.98339676856995,1298,40,325
3,64,True,0.9098339676856995,90.98339676856995,1298,40,325
3,128,False,0.9542734622955322,95.42734622955322,1298,40,325
3,128,True,0.9542734622955322,95.42734622955322,1298,40,325
3,192,False,0.9726215600967407,97.26215600967407,1298,40,325
3,192,True,0.9726215600967407,97.26215600967407,1298,40,325
3,256,False,0.9821738004684448,98.21738004684448,1298,40,325
3,256,True,0.9821738004684448,98.21738004684448,1298,40,325
3,384,False,0.9917508363723755,99.17508363723755,1298,40,325
3,384,True,0.9917508363723755,99.17508363723755,1298,40,325
3,512,False,0.9960201382637024,99.60201382637024,1298,40,325
3,512,True,0.9960201382637024,99.60201382637024,1298,40,325
4,64,False,0.9101086854934692,91.01086854934692,1299,40,324
4,64,True,0.9101086854934692,91.01086854934692,1299,40,324
4,128,False,0.9548829197883606,95.48829197883606,1299,40,324
4,128,True,0.9548829197883606,95.48829197883606,1299,40,324
4,192,False,0.9730828404426575,97.30828404426575,1299,40,324
4,192,True,0.9730828404426575,97.30828404426575,1299,40,324
4,256,False,0.9824783802032471,98.2478380203247,1299,40,324
4,256,True,0.9824783802032471,98.2478380203247,1299,40,324
4,384,False,0.9919242858886719,99.19242858886719,1299,40,324
4,384,True,0.9919242858886719,99.19242858886719,1299,40,324
4,512,False,0.9960973262786865,99.60973262786865,1299,40,324
4,512,True,0.9960973262786865,99.60973262786865,1299,40,324
