candidate_key,representation_key,C,penalty,pca_components,pca_whiten,gold_multiplier,wet_cost,threshold_oof_constrained,minimum_wet_recall_oof,elapsed_fit_seconds,oof_tuned__accuracy,oof_tuned__balanced_accuracy,oof_tuned__macro_f1,oof_tuned__dry_precision,oof_tuned__wet_precision,oof_tuned__dry_recall,oof_tuned__wet_recall,oof_tuned__roc_auc,oof_tuned__average_precision_wet,oof_tuned__tn_dry_correct,oof_tuned__fp_dry_as_wet,oof_tuned__fn_wet_as_dry,oof_tuned__tp_wet_correct,native__accuracy,native__balanced_accuracy,native__macro_f1,native__dry_precision,native__wet_precision,native__dry_recall,native__wet_recall,native__roc_auc,native__average_precision_wet,native__tn_dry_correct,native__fp_dry_as_wet,native__fn_wet_as_dry,native__tp_wet_correct
logistic_regression__C0.001__pca64__no_whiten__gold1p5__wetcost1,logistic_regression__C0.001__pca64__no_whiten,0.001,l2,64,False,1.5,1.0,0.5329474037263893,0.550531914893617,0.04801260000203911,0.6937769562538509,0.6456079697657356,0.6218086939398415,0.8459409594095941,0.3877551020408163,0.7353648757016841,0.5558510638297872,0.6798870480642906,0.38036739622675275,917,330,167,209,0.6555760936537277,0.6448977546110666,0.6023057976331843,0.8546391752577319,0.35987748851454826,0.6647955092221332,0.625,0.6798870480642906,0.38036739622675275,829,418,141,235
logistic_regression__C0.0003__pca64__no_whiten__gold1p5__wetcost1p15,logistic_regression__C0.0003__pca64__no_whiten,0.0003,l2,64,False,1.5,1.15,0.5302152478548146,0.550531914893617,0.044492800001535215,0.6869993838570548,0.6504856336057603,0.6210662744737567,0.8509021842355176,0.38421052631578945,0.7185244587008821,0.5824468085106383,0.680096060332031,0.3794717396987229,896,351,157,219,0.6469500924214417,0.6485725315224624,0.5992383633214668,0.8600427350427351,0.35662299854439594,0.6455493183640738,0.651595744680851,0.680096060332031,0.3794717396987229,805,442,131,245
logistic_regression__C0.0003__pca64__no_whiten__gold1p5__wetcost1p3,logistic_regression__C0.0003__pca64__no_whiten,0.0003,l2,64,False,1.5,1.3,0.5319316589575257,0.550531914893617,0.037851299999601906,0.685150955021565,0.6511403965261308,0.620473186105438,0.8518164435946463,0.3830155979202773,0.714514835605453,0.5877659574468085,0.6801685747922674,0.3791020159617068,891,356,155,221,0.6432532347504621,0.6480244075142043,0.5969697580532752,0.8606911447084233,0.35437589670014347,0.6391339214113874,0.6569148936170213,0.6801685747922674,0.3791020159617068,797,450,129,247
logistic_regression__C0.0003__pca64__no_whiten__gold1__wetcost1p15,logistic_regression__C0.0003__pca64__no_whiten,0.0003,l2,64,False,1.0,1.15,0.5204572687540152,0.550531914893617,0.04203669999697013,0.6802218114602587,0.6562921223702844,0.6204651451996108,0.8568627450980392,0.3814262023217247,0.7008821170809943,0.6117021276595744,0.6812733539217527,0.3799957593309572,874,373,146,230,0.6469500924214417,0.6485725315224624,0.5992383633214668,0.8600427350427351,0.35662299854439594,0.6455493183640738,0.651595744680851,0.6812733539217527,0.3799957593309572,805,442,131,245
logistic_regression__C0.0003__pca64__no_whiten__gold1p5__wetcost1,logistic_regression__C0.0003__pca64__no_whiten,0.0003,l2,64,False,1.5,1.0,0.5277314254632679,0.550531914893617,0.041666999999506515,0.6863832409118915,0.6491558463717176,0.6200837455074744,0.8500948766603416,0.38312829525483305,0.7185244587008821,0.5797872340425532,0.6799638280810114,0.37974613268787105,896,351,158,218,0.6524953789279113,0.6503235424593492,0.6030132708821234,0.8598524762908325,0.36053412462908013,0.6543704891740176,0.6462765957446809,0.6799638280810114,0.37974613268787105,816,431,133,243
logistic_regression__C0.0003__pca384__no_whiten__gold1__wetcost1p15,logistic_regression__C0.0003__pca384__no_whiten,0.0003,l2,384,False,1.0,1.15,0.539552762414578,0.550531914893617,0.21459759999925154,0.6919285274183611,0.6434762579126072,0.6197780984688045,0.8448753462603878,0.3851851851851852,0.7337610264635124,0.5531914893617021,0.684585558531966,0.3794909831381412,915,332,168,208,0.6420209488601355,0.6444360081216196,0.5948101871208179,0.8580645161290322,0.35209235209235207,0.6399358460304732,0.648936170212766,0.684585558531966,0.3794909831381412,798,449,132,244
logistic_regression__C0.0003__pca64__no_whiten__gold1__wetcost1,logistic_regression__C0.0003__pca64__no_whiten,0.0003,l2,64,False,1.0,1.0,0.5196398153491266,0.550531914893617,0.04634450000048673,0.680837954405422,0.6529777849818288,0.6191935571539869,0.8542274052478134,0.38047138047138046,0.7048917401764234,0.601063829787234,0.6812456278046035,0.3805328184738049,879,368,150,226,0.6512630930375847,0.6495216178402634,0.6020004436572609,0.8595564941921858,0.3594674556213018,0.652766639935846,0.6462765957446809,0.6812456278046035,0.3805328184738049,814,433,133,243
logistic_regression__C0.0003__pca384__no_whiten__gold1__wetcost1,logistic_regression__C0.0003__pca384__no_whiten,0.0003,l2,384,False,1.0,1.0,0.5347821651498739,0.550531914893617,0.20756150000124762,0.6913123844731978,0.6421464706785647,0.6187649007321139,0.8440959409594095,0.38404452690166974,0.7337610264635124,0.550531914893617,0.6844426623897354,0.37906194771154084,915,332,169,207,0.6432532347504621,0.6405938081182071,0.593859466767051,0.8545647558386412,0.3509544787077827,0.6455493183640738,0.6356382978723404,0.6844426623897354,0.37906194771154084,805,442,137,239
logistic_regression__C0.0003__pca384__no_whiten__gold1__wetcost1p3,logistic_regression__C0.0003__pca384__no_whiten,0.0003,l2,384,False,1.0,1.3,0.5415872129418575,0.550531914893617,0.21819649999815738,0.6894639556377079,0.6428012335989353,0.6182473930428873,0.8449396471680595,0.38278388278388276,0.7297514033680834,0.5558510638297872,0.6846431435445068,0.3793329470031053,910,337,167,209,0.6377079482439926,0.6425580968793189,0.5916638711841664,0.8577633007600435,0.349002849002849,0.6335204490777867,0.651595744680851,0.6846431435445068,0.3793329470031053,790,457,131,245
logistic_regression__C0.0003__pca384__no_whiten__gold1__wetcost1p5,logistic_regression__C0.0003__pca384__no_whiten,0.0003,l2,384,False,1.0,1.5,0.5464070965855653,0.550531914893617,0.1953726000028837,0.6894639556377079,0.640943583749936,0.617242773398019,0.8436632747456059,0.38191881918819187,0.731355252606255,0.550531914893617,0.6848478902557626,0.37938078287217686,912,335,169,207,0.6370918052988294,0.6458724342677746,0.5926650937667912,0.8607456140350878,0.350210970464135,0.6295108259823576,0.6622340425531915,0.6848478902557626,0.37938078287217686,785,462,127,249
logistic_regression__C0.0003__pca384__no_whiten__gold1p5__wetcost1p5,logistic_regression__C0.0003__pca384__no_whiten,0.0003,l2,384,False,1.5,1.5,0.5318736232489278,0.550531914893617,0.2023797999991075,0.6802218114602587,0.647003873125288,0.6159382062918075,0.85,0.37735849056603776,0.7089013632718525,0.5851063829787234,0.6838881400467505,0.3785224836339649,884,363,156,220,0.6377079482439926,0.6481310464263168,0.5939115929941619,0.8624862486248625,0.35154061624649857,0.6287089013632718,0.6675531914893617,0.6838881400467505,0.3785224836339649,784,463,125,251
logistic_regression__C0.0003__pca384__no_whiten__gold1p5__wetcost1p3,logistic_regression__C0.0003__pca384__no_whiten,0.0003,l2,384,False,1.5,1.3,0.5288525883906257,0.550531914893617,0.2125106000003143,0.6802218114602587,0.6460750482007883,0.6154718422987958,0.8493282149712092,0.3769363166953528,0.7097032878909383,0.5824468085106383,0.683960654506987,0.3784995996366678,885,362,157,219,0.6426370918052988,0.65133874490266,0.5979667282809612,0.8636859323882224,0.3555240793201133,0.6351242983159583,0.6675531914893617,0.683960654506987,0.3784995996366678,792,455,125,251
logistic_regression__C0.0003__pca384__no_whiten__gold1p5__wetcost1,logistic_regression__C0.0003__pca384__no_whiten,0.0003,l2,384,False,1.5,1.0,0.5168984223288355,0.550531914893617,0.2112546000007569,0.674060382008626,0.6504248494258561,0.6144884456587871,0.854043392504931,0.37438423645320196,0.6944667201283079,0.6063829787234043,0.6838198911429985,0.3782203505329483,866,381,148,228,0.6494146642020949,0.6464610810626354,0.5996926671420428,0.8575949367088608,0.35703703703703704,0.6519647153167603,0.6409574468085106,0.6838198911429985,0.3782203505329483,813,434,135,241
logistic_regression__C0.0003__pca384__no_whiten__gold1p5__wetcost1p15,logistic_regression__C0.0003__pca384__no_whiten,0.0003,l2,384,False,1.5,1.15,0.5253551799339387,0.550531914893617,0.23298479999721167,0.678373382624769,0.6448721612721595,0.6139517716535433,0.848893166506256,0.375,0.7072975140336808,0.5824468085106383,0.6839478578375334,0.3786229164864304,882,365,157,219,0.6414048059149723,0.6421773959630773,0.5935306470213608,0.8563772775991425,0.3507246376811594,0.640737770649559,0.6436170212765957,0.6839478578375334,0.3786229164864304,799,448,134,242
