n_components,explained_variance_ratio,cumulative_explained_variance_ratio
1,0.20532116198542488,0.20532116198542488
2,0.13864083815249093,0.3439620001379158
3,0.08462810326878599,0.4285901034067018
4,0.06466984422383464,0.49325994763053643
5,0.05586165955839998,0.5491216071889364
6,0.03653618694807699,0.5856577941370135
7,0.028032312937198996,0.6136901070742125
8,0.024301741039564798,0.6379918481137773
9,0.021143735383619872,0.6591355834973972
10,0.016535642996210333,0.6756712264936076
11,0.015156898150637345,0.6908281246442449
12,0.01417566340508721,0.7050037880493322
13,0.013350389104550182,0.7183541771538824
14,0.012845316259700736,0.7311994934135831
15,0.012189926069102507,0.7433894194826857
16,0.011024077408677889,0.7544134968913635
17,0.010367565633942531,0.764781062525306
18,0.008536452689556004,0.773317515214862
19,0.007944434665980852,0.7812619498808429
20,0.006975135922872476,0.7882370858037153
21,0.006714417181915268,0.7949515029856306
22,0.00593945894394405,0.8008909619295747
23,0.005527545048371911,0.8064185069779466
24,0.004974166755791113,0.8113926737337377
25,0.004837189829526047,0.8162298635632638
26,0.004760537914097691,0.8209904014773615
27,0.0043207130271592205,0.8253111145045207
28,0.004238242236477186,0.8295493567409978
29,0.003982759429053964,0.8335321161700519
30,0.003790862524105956,0.8373229786941578
31,0.0035114113316111924,0.840834390025769
32,0.003372381111309137,0.8442067711370781
33,0.0031290071546765438,0.8473357782917547
34,0.003058233362164337,0.850394011653919
35,0.003029251902327782,0.8534232635562469
36,0.0028924202084698986,0.8563156837647168
37,0.0027348998408380917,0.8590505836055549
38,0.0026999601645937973,0.8617505437701487
39,0.002588497533186323,0.864339041303335
40,0.002489517538703574,0.8668285588420386
41,0.0023865404170556838,0.8692150992590942
42,0.002329975890027023,0.8715450751491213
43,0.002272046844535222,0.8738171219936565
44,0.002172603312900611,0.875989725306557
45,0.0020806186981154108,0.8780703440046724
46,0.0020383272787904663,0.8801086712834629
47,0.0019212475414264523,0.8820299188248893
48,0.0018683580828663148,0.8838982769077557
49,0.0018205077668822086,0.8857187846746379
50,0.0017590509940873921,0.8874778356687253
51,0.0017258222305550363,0.8892036578992804
52,0.001653178461513348,0.8908568363607937
53,0.0016233274346706581,0.8924801637954644
54,0.0015650890304946112,0.8940452528259589
55,0.0015326508613674606,0.8955779036873264
56,0.0015211965157273656,0.8970991002030537
57,0.001459506228056626,0.8985586064311103
58,0.001427717679715605,0.8999863241108259
59,0.0013725255760235538,0.9013588496868494
60,0.0013574866351358241,0.9027163363219852
61,0.001297198111961995,0.9040135344339473
62,0.0012272489450133601,0.9052407833789606
63,0.0011951739970644639,0.9064359573760251
64,0.0011899835518695751,0.9076259409278947
65,0.0011578024472197175,0.9087837433751145
66,0.0011349776748911615,0.9099187210500056
67,0.0010903709269694444,0.911009091976975
68,0.0010893881641519836,0.9120984801411269
69,0.0010653351464468969,0.9131638152875738
70,0.0010345846817498682,0.9141983999693237
71,0.00100264326288898,0.9152010432322127
72,0.0009760577354121243,0.9161771009676248
73,0.0009689672668219799,0.9171460682344468
74,0.0009666454628137007,0.9181127136972604
75,0.000936611664566465,0.9190493253618269
76,0.000919451448458749,0.9199687768102857
77,0.0009063782211786178,0.9208751550314643
78,0.0008918497411145209,0.9217670047725789
79,0.000880420130085322,0.9226474249026642
80,0.000876495281115713,0.9235239201837798
81,0.0008479564690053444,0.9243718766527852
82,0.0008393394065252552,0.9252112160593104
83,0.0008285727125499221,0.9260397887718603
84,0.0008135577193403088,0.9268533464912007
85,0.0008017441722269773,0.9276550906634277
86,0.0007834626173364974,0.9284385532807642
87,0.0007668325901139611,0.9292053858708782
88,0.0007404655100788692,0.9299458513809571
89,0.0007304570963343887,0.9306763084772914
90,0.0007206685957149852,0.9313969770730064
91,0.0007159465203363498,0.9321129235933427
92,0.0007040409311364974,0.9328169645244793
93,0.0006908282007534932,0.9335077927252328
94,0.0006726990189902717,0.934180491744223
95,0.0006595355807509255,0.934840027324974
96,0.0006545918741685156,0.9354946191991425
97,0.0006455857670441469,0.9361402049661866
98,0.0006408260346265268,0.9367810310008131
99,0.0006243678560094229,0.9374053988568225
100,0.0006152921481321318,0.9380206910049547
101,0.000606767165363109,0.9386274581703178
102,0.0006008039937504054,0.9392282621640682
103,0.000589842123918168,0.9398181042879864
104,0.0005742001453959943,0.9403923044333824
105,0.0005720090094169496,0.9409643134427993
106,0.0005702365509433747,0.9415345499937426
107,0.0005575737148178552,0.9420921237085605
108,0.0005517728550791358,0.9426438965636397
109,0.000543278590848059,0.9431871751544877
110,0.0005342153405187175,0.9437213904950064
111,0.0005281081089125717,0.9442494986039189
112,0.0005205179262056404,0.9447700165301246
113,0.0005151126752963266,0.945285129205421
114,0.0005098946616239595,0.945795023867045
115,0.0005002400504161024,0.9462952639174611
116,0.0004949459795721682,0.9467902098970332
117,0.0004874037926004882,0.9472776136896337
118,0.0004792835699010913,0.9477568972595348
119,0.0004752586278652493,0.9482321558874001
120,0.00046772774572790323,0.948699883633128
121,0.00045919914779603353,0.949159082780924
122,0.0004530879786682342,0.9496121707595923
123,0.0004490950772199487,0.9500612658368122
124,0.0004460991975929136,0.950507365034405
125,0.0004392542391615427,0.9509466192735666
126,0.00043657364460408706,0.9513831929181706
127,0.0004337930252872676,0.9518169859434579
128,0.0004220257365657595,0.9522390116800237
129,0.0004157613255969528,0.9526547730056206
130,0.00041124963185679224,0.9530660226374774
131,0.0004065810163339661,0.9534726036538114
132,0.0003985931449299705,0.9538711967987413
133,0.0003966756541477823,0.9542678724528891
134,0.00039112941133131736,0.9546590018642205
135,0.000379446752552095,0.9550384486167726
136,0.0003744362440998475,0.9554128848608724
137,0.0003722427233616756,0.9557851275842341
138,0.0003652441282556274,0.9561503717124897
139,0.00036071231781173126,0.9565110840303015
140,0.00035906289788960994,0.9568701469281911
141,0.0003558898788052286,0.9572260368069962
142,0.00035333456642480215,0.9575793713734211
143,0.00034547138192899817,0.9579248427553501
144,0.00034505312758821783,0.9582698958829383
145,0.00034414012730474834,0.9586140360102431
146,0.00033812563594035766,0.9589521616461835
147,0.0003342465120802733,0.9592864081582637
148,0.00032964906057360137,0.9596160572188374
149,0.00032647514135703893,0.9599425323601944
150,0.00032124908964382585,0.9602637814498383
151,0.0003187259804332092,0.9605825074302715
152,0.00031605399365126056,0.9608985614239228
153,0.000311664676129013,0.9612102261000518
154,0.00030574203876960435,0.9615159681388215
155,0.0002991325864490589,0.9618151007252705
156,0.0002956711931356024,0.9621107719184061
157,0.00029224757173218355,0.9624030194901383
158,0.000290450676127911,0.9626934701662662
159,0.00028800149248411406,0.9629814716587503
160,0.0002852809322344173,0.9632667525909847
161,0.0002809672497482021,0.963547719840733
162,0.00028032806854588743,0.9638280479092788
163,0.00027516985080511757,0.9641032177600839
164,0.0002725154659637292,0.9643757332260476
165,0.00026990445598967604,0.9646456376820373
166,0.00026176032169899203,0.9649073980037363
167,0.0002585265801678079,0.965165924583904
168,0.0002529991051180031,0.965418923689022
169,0.000252253503271107,0.9656711771922931
170,0.00024926551971953865,0.9659204427120126
171,0.00024716377620032223,0.966167606488213
172,0.000243494560020896,0.9664111010482339
173,0.00024076042744024278,0.9666518614756742
174,0.0002396300238856986,0.9668914914995599
175,0.00023772130465944032,0.9671292128042194
176,0.00023609842526269899,0.9673653112294821
177,0.0002344378286786131,0.9675997490581607
178,0.00023195353985211556,0.9678317025980129
179,0.00023084702169205406,0.968062549619705
180,0.0002269707908137766,0.9682895204105187
181,0.0002246416455972073,0.968514162056116
182,0.0002241180769063628,0.9687382801330223
183,0.0002225613804586624,0.9689608415134809
184,0.00021895417732031806,0.9691797956908013
185,0.00021773277226836774,0.9693975284630696
186,0.000212430701042569,0.9696099591641122
187,0.00021194807111264016,0.9698219072352249
188,0.00020917151413046766,0.9700310787493553
189,0.00020704690904481233,0.9702381256584002
190,0.0002047399452095674,0.9704428656036097
191,0.00020399677832844257,0.9706468623819382
192,0.00020083107866462148,0.9708476934606028
193,0.00020014469904129528,0.9710478381596441
194,0.00019622577843573887,0.9712440639380798
195,0.00019538031957538036,0.9714394442576552
196,0.0001933404772441925,0.9716327847348993
197,0.0001929321486744225,0.9718257168835738
198,0.00019170318504621865,0.97201742006862
199,0.0001888887496075639,0.9722063088182276
200,0.00018719946207694724,0.9723935082803045
201,0.00018447890772855624,0.972577987188033
202,0.00018278025403160715,0.9727607674420646
203,0.0001813255710021986,0.9729420930130668
204,0.00018075178006640578,0.9731228447931332
205,0.00017922596315727725,0.9733020707562904
206,0.00017743677273636556,0.9734795075290268
207,0.0001740550358446962,0.9736535625648715
208,0.00017394787020567144,0.9738275104350771
209,0.00017177027762963956,0.9739992807127067
210,0.00017138052672311342,0.9741706612394299
211,0.00016873231232794584,0.9743393935517578
212,0.00016815088590813233,0.974507544437666
213,0.00016658134945577588,0.9746741257871218
214,0.00016577328925583874,0.9748398990763776
215,0.00016342458516500978,0.9750033236615426
216,0.0001625890552368414,0.9751659127167794
217,0.00016180474099788253,0.9753277174577774
218,0.00016021511266464284,0.975487932570442
219,0.00015737624822020972,0.9756453088186622
220,0.0001556494680548783,0.9758009582867171
221,0.00015478303483240687,0.9759557413215495
222,0.00015236360272746226,0.9761081049242769
223,0.0001515852297606043,0.9762596901540375
224,0.00015131980708598397,0.9764110099611234
225,0.00014928927698596592,0.9765602992381094
226,0.0001491875551476344,0.976709486793257
227,0.00014800652174764444,0.9768574933150046
228,0.0001456420948245718,0.9770031354098292
229,0.00014510596479500588,0.9771482413746242
230,0.00014319294902637774,0.9772914343236506
231,0.00014205823878657824,0.9774334925624372
232,0.00014066773983706748,0.9775741603022743
233,0.0001397151445819233,0.9777138754468562
234,0.00013874251258254137,0.9778526179594387
235,0.00013803799367745952,0.9779906559531162
236,0.0001367618367999828,0.9781274177899162
237,0.00013495319300434232,0.9782623709829206
238,0.00013436959750698984,0.9783967405804276
239,0.00013377019152235745,0.97853051077195
240,0.00013174334385073548,0.9786622541158007
241,0.00013105329599691478,0.9787933074117976
242,0.00013025467957271093,0.9789235620913703
243,0.00013003215273266493,0.979053594244103
244,0.00012828383819431862,0.9791818780822973
245,0.00012770558082309495,0.9793095836631204
246,0.00012624987155194202,0.9794358335346723
247,0.0001258979916197355,0.9795617315262921
248,0.0001253522088544045,0.9796870837351466
249,0.00012392718618561518,0.9798110109213322
250,0.00012310444473913752,0.9799341153660713
251,0.00012164126697970185,0.980055756633051
252,0.00012121706220355482,0.9801769736952546
253,0.00012008117977816121,0.9802970548750327
254,0.00011833066283974961,0.9804153855378724
255,0.00011746407122180042,0.9805328496090943
256,0.00011676086673979472,0.9806496104758341
257,0.00011584445717074879,0.9807654549330048
258,0.00011549578637978168,0.9808809507193846
259,0.00011505786857608307,0.9809960085879608
260,0.00011392314590976132,0.9811099317338705
261,0.00011362091369142806,0.9812235526475619
262,0.00011227800981779709,0.9813358306573797
263,0.00011105947973924239,0.9814468901371189
264,0.00011060348327756457,0.9815574936203965
265,0.00010977337421577934,0.9816672669946123
266,0.00010904250788090429,0.9817763095024932
267,0.00010875620456462025,0.9818850657070578
268,0.00010702565892059459,0.9819920913659784
269,0.00010551013260666734,0.982097601498585
270,0.00010514887985062126,0.9822027503784356
271,0.00010475414190871845,0.9823075045203443
272,0.00010402002445219524,0.9824115245447965
273,0.00010337173302076794,0.9825148962778173
