dataset,dataset_origin,threshold,n_samples,n_no_cough,n_cough,accuracy,balanced_accuracy,precision_cough,recall_cough,specificity_no_cough,f1_cough,macro_f1,roc_auc,tn_no_cough_correct,fp_no_cough_as_cough,fn_cough_as_no_cough,tp_cough_correct
train_oof_coughvid,COUGHVID,0.5,2034,51,1983,0.956243854473943,0.6336952330099968,0.9816887080366226,0.9732728189611699,0.29411764705882354,0.977462648771841,0.6147817445539877,0.877062877596828,15,36,53,1930
train_oof_fsd50k,FSD50K,0.5,5684,5552,132,0.9663969035890219,0.6647863723692253,0.304635761589404,0.3484848484848485,0.9810878962536023,0.3250883392226148,0.6539289237836123,0.8587691577154835,5447,105,86,46
